Manufacturer,Brand,ID
3M,Scotch,1
3M,3M,2
3M,Scotch Brite,3
7-Eleven,11-Jul,4
7-Eleven,Seven-eleven,5
7-Eleven,7-Eleven,6
A&W,A&W,7
Abbott Laboratories,Pedialyte,8
Abbott Laboratories,pediasure,9
Abbott Laboratories,Abbott Nutrition,10
Abbott Laboratories,Ensure,11
Abbott Laboratories,ensure gold,12
Agrokor,Jamnica,13
Agrokor,Zvijezda,14
Agrokor,Konzum,15
Agrokor,Ledo,16
Agrokor,PIK Vrbovec,17
Agrokor,Belje,18
Agrokor,Agrolaguna,19
Agrokor,Tisak,20
Agrokor,Frikom,21
Agrokor,Sarajevski kiseljak,22
Agrokor,Fonyodi,23
Agrokor,Goda,24
Agrokor,Jana,25
Agrokor,Sky Cola,26
Albertsons-Safeway,Albertson's,27
Albertsons-Safeway,Refreshe,28
Albertsons-Safeway,Safeway Inc.,29
Albertsons-Safeway,Acme Markets,30
Albertsons-Safeway,Shaw's and Star Market,31
Albertsons-Safeway,Vons,32
Albertsons-Safeway,Tom Thumb,33
Albertsons-Safeway,Randalls,34
Albertsons-Safeway,Jewel-Osco,35
Albertsons-Safeway,Albertsons,36
Albertsons-Safeway,Safeway,37
Albertsons-Safeway,Signature Select,38
Albertsons-Safeway,Better Living,39
Aldi,Pur Aqua,40
Alfred Ritter GmbH&Co,Ritter,41
Alfred Ritter GmbH&Co,Ritter Sport,42
Amazon / Whole Foods,Amazon,43
Amazon / Whole Foods,365,44
American Licorice Company,Sour Punch Straws,45
American Sugar Refining,DOminO,46
Anheuser-Busch InBev,Bud Light,47
Anheuser-Busch InBev,Budweiser,48
Anheuser-Busch InBev,Busch,49
Anheuser-Busch InBev,Bud,50
Anheuser-Busch InBev,Natural Ice,51
Anheuser-Busch InBev,Bud Ice,52
Anheuser-Busch InBev,Bud Light,53
Anheuser-Busch InBev,Michelob,54
Anheuser-Busch InBev,Michelob Light,55
Anheuser-Busch InBev,Michelob Ultra,56
Anheuser-Busch InBev,Natty Daddy,57
Anheuser-Busch InBev,Natural Light,58
Anheuser-Busch InBev,Stella,59
Apple,Apple,60
AriZona Beverages,Arizona,61
Aryzta,La Brea Bakery,62
Aryzta,Otis Spunkmeyer,63
Aryzta,Oakrun Farm,64
Aryzta,Shamrock,65
Aryzta,Delice de France,66
Aryzta,Groupe Hubert,67
Associated Wholesale Grocers,Best Choice,68
August Storck KG,Werther's Original,69
B&G Foods,Grandma’s Molasses,70
B&G Foods,Cream of Wheat,71
B&G Foods,Sclafani,72
B&G Foods,Don Pepino,73
B&G Foods,Mrs. Dash,74
B&G Foods,Molly McButter,75
B&G Foods,Spice Islands,76
B&G Foods,Sugar Twin,77
B&G Foods,Baker’s Joy,78
B&G Foods,Static Guard and Kleen Guard furniture polish,79
B&G Foods,Mrs. Fanning’s,80
B&G Foods,Chipita,81
B&G Foods,Green Giant,82
B&G Foods,Snackwells,83
B&G Foods,Ortega,84
B&G Foods,Brer Rabbit Molasses,85
Bacardi,Grey Goose,86
Bacardi,Bacardi,87
Barilla Group,Barilla,88
Barilla Group,Mulino Bianco,89
