id,Material,Item,Brand
2175876,Plastic,Wrapper,Barritas
2180819,"Metal, plastic",Wrapper,Chewy Bar
2180790,"Plastic, metal",Sauce packet,Chick-Fil-A
2175886,Paper,Wrapper,Chick-Fil-A
2189922,Styrofoam,Cup,Circle K
2175884,Styrofoam,Cup,Circle K
2175846,Plastic,Straw,Circle K
2165775,Paper,Cup,Del Taco
2175887,Plastic,Wrapper,Dela Rosa
2180786,Plastic,Bottle ,E & J
2184866,Paper,Bag,Hefty
2180811,Paper,Wrapper,Jack-In-The-Box
2189939,Plastic,Wrapper,Jolly Rancher
2189942,Plastic,Bottle,Kirkland
2175883,Plastic,Water bottle,Kirkland
2175882,Plastic,Bag,Lays
2180808,Paper,Cigarette,Marlboro
2165787,Paper,Cigarette,Marlboro
2189941,Paper,Wapper,Orbit Gum
2189937,Plastic,Wrapper,Push pop
2189943,Plastic,Wrapper,Rebanadas
2175844,Paper,Cup,Seattle's Best
2184871,Plastic,Bottle,Smart Water
2175856,Paper,Cup,Yum Yum Donuts
2175840,,Apple core,
2189945,Plastic,Bag,
2165783,Plastic,Bag,
2175854,Plastic,Bottle cap,
2165758,Plastic,Caution Tape,
2180812,Paper,Cigarette,
2180783,Paper,Cigarette,
2175855,Paper,Cigarette,
2165779,Paper,Cigarette,
2165777,Paper,Cigarette,
2180813,Metal,Container,
2180822,Plastic,Cup,
2175879,Paper,Cup holder,
2175847,Plastic,Duct Tape,
2180815,Metal,Foil wrapper,
2189935,Cloth,Glove,
2175881,Cloth,Glove,
2189930,Paper,Gum wrapper,
2189944,Plastic,iPhone case,
2180821,Plastic,Lid,
2180810,Plastic,Lid,
2180792,Plastic,Lid,
2175880,Plastic,Lid,
2175877,Plastic,Lid,
2175845,Plastic,Lid,
2165780,Plastic,Lid,
2175888,Paper,Napkin,
2180788,Paper,Price tag,
2175885,Plastic,Sauce packet,
2175838,Plastic,Sauce Packet,
2165781,Cardboard,Scrap,
2165768,Cardboard,Scrap,
2189921,Paper,Scrap,
2175852,Paper,Scrap,
2165785,Paper,Scrap,
2165778,Paper,Scrap,
2165769,Paper,Scrap,
2189933,Plastic,Scrap,
2175849,Plastic,Scrap,
2165784,Plastic,Scrap,
2184864,Styrofoam,Scrap,
2180809,Styrofoam,Scrap,
2180785,Styrofoam,Scrap,
2165774,Styrofoam,Scrap,
2165767,Plastic,Stirrer,
2180784,Paper,Straw wrapper,
2165776,Paper,Straw wrapper,
2189927,"Metal, plastic",Wrapper,
2189928,Paper,Wrapper,
2180820,Paper,Wrapper,
2189938,Plastic,Wrapper,
2189934,Plastic,Wrapper,
2189932,Plastic,Wrapper,
2189931,Plastic,Wrapper,
2189929,Plastic,Wrapper,
2189923,Plastic,Wrapper,
2189920,Plastic,Wrapper,
2184865,Plastic,Wrapper,
2180793,Plastic,Wrapper,
2175890,Plastic,Wrapper,
2175889,Plastic,Wrapper,
2189940,"Plastic, metal",Wrapper,
2165760,Metal,,
2189946,Paper,,
2189936,Paper,,
2175892,Paper,,
2175891,Paper,,
2175836,Paper,,
2180816,Plastic,,
