id,Material,Item,Brand,Notes
2149370,Glass,Bottle,99 Gold,
2162020,Aluminum,Can,Bud Light,
2162044,Aluminum ,Can,Budweiser ,
2157043,Paper,Bag,Burger King,
2157040,Styrofoam,Cup,Circle K,
2157057,Styrofoam,Cup,Circle K,
2139090,Styrofoam,Scrap,Circle K,
2139084,Paper,Bag,Del Taco,
2162025,Styrofoam,Cup,Dixie,
2149377,Paper,Ad,Ford,
2162031,Plastic,Cup,Jack In The Box,
2162037,Plastic,Lid,Jack In The Box,
2149390,Plastic,Water bottle,Kirkland,
2162046,Paper,Wrapper,M&M,
2162035,Paper,Cigarette,Marlboro,
2162022,Plastic,Water bottle wrapper,Niagra,
2149385,Plastic,Wrapper,Reeses,
2139092,Plastic,Wrapper,Starburst,
2139091,Plastic,Wrapper with food,Starburst,
2162023,Plastic,Wrapper,Valerio's,
2149368,Styrofoam,Cup,Wingstop,
2162027,Plastic,Bag,Ziplock,
2162024,Plastic,Bag,,
2162026,Cardboard,Box,,
2139059,Plastic,Caution tape,,
2139051,Paper,Cigarette,,
2139080,Paper,Cigarette,,
2139086,Paper,Cigarette,,
2139089,Paper,Cigarette,,
2149389,Paper,Cigarette,,
2162042,Paper,Cigarette,,
2162017,Paper,Cigarette,,
2162033,Paper,Cigarette,,
2149380,Plastic,Lid,,
2139079,Paper,Napkin,,
2139081,Paper,Napkin,,
2139082,Paper,Napkin,,
2149395,Paper,Napkin,,
2162039,Paper,Napkin,,
2162036,Paper,Newspaper Ad,,
2149371,Plastic,Ornament,,
2162038,Paper,Paper Towel,,
2157042,Styrofoam,Plate,,
2149365,Paper,Receipt,,
2139087,Plastic,Ring,,
2162018,Plastic,Ring,,
2157044,Cardboard,Scrap,,
2161999,Cardboard,Scrap,,
2149372,Glass,Scrap,,
2139085,Paper,Scrap,,
2149384,Paper,Scrap,,
2162019,Paper,Scrap,,
2162034,Paper,Scrap,,
2157045,Plastic,Scrap,,
2149373,Styrofoam,Scrap,,
2162045,Styrofoam,Scrap,,
2157056,Styrofoam,Scrap,,
2162041,Wood,Scrap,,
2149393,Styrofoam,Scraps,,
2162043,Plastic,Sticker,,
2149387,Plastic,Straw,,
2149366,Paper,Tissue,,
2162032,Plastic,Wrapper,,
