id,Material,Item,Brand
4579074,plastic ,food wrapper ,3 musketeers 
4578383,paper ,gum wrapper ,5 gum
4578382,paper ,gum wrapper ,5 gum
4584715,plastic ,cup ,7 eleven 
4538081,plastic ,miscwrapper ,7 eleven 
4606408,plastic ,miscwrapper ,airheads 
4579073,paper ,straw wrapper ,bakers 
4538331,paper ,straw wrapper ,Bakers 
4598967,aluminum,can ,Bang 
4584722,plastic ,food wrapper ,bottle caps 
4584695,paper ,receipt ,Burger King 
4578365,plastic ,candy wrapper ,butter finger 
4538086,plastic ,wrapper ,butterfinger
4584699,paper ,cigarette,camel
4598983,paper ,cigarette ,camel
4598958,paper ,cigarette ,camel
4598957,paper ,cigarette ,camel
4578506,paper ,cigarette ,camel
4578511,paper ,cigarettes ,camel
4590174,paper ,cigarettes ,camel crush
4598964,paper ,cigarette,camel 
4578491,"plastic, paper ",cigarette box ,camel 
4606398,paper ,cigarette ,camel 
4606393,paper ,cigarette ,camel 
4606390,paper ,cigarette ,camel 
4606389,paper ,cigarette ,camel 
4606386,paper ,cigarette ,camel 
4598984,paper ,cigarette ,camel 
4598966,paper ,cigarette ,camel 
4598965,paper ,cigarette ,camel 
4598963,paper ,cigarette ,camel 
4598956,paper ,cigarette ,camel 
4598954,paper ,cigarette ,camel 
4598953,paper ,cigarette ,camel 
4598952,paper ,cigarette ,camel 
4598949,paper ,cigarette ,camel 
4598948,paper ,cigarette ,camel 
4598944,paper ,cigarette ,camel 
4590182,paper ,cigarette ,camel 
4590177,paper ,cigarette ,camel 
4590176,paper ,cigarette ,camel 
4584714,paper ,cigarette ,camel 
4584713,paper ,cigarette ,camel 
4584710,paper ,cigarette ,camel 
4584708,paper ,cigarette ,camel 
4584697,paper ,cigarette ,camel 
4578508,paper ,cigarette ,camel 
4598950,paper ,cigarettes ,camel 
4590190,paper,receipt ,chase 
4606396,plastic,bag,Cheetos
4590202,plastic ,bag ,Cheetos 
4578348,plastic ,food wrapper ,Cheetos 
4578349,plastic ,bottle cap ,Coca Cola 
4590181,plastic ,cap ,Colgate 
4578520,plastic ,cup,del taco 
4598937,plastic ,straw wrapper ,Ding tea 
4598980,plastic ,cosmetics container ,Dove 
4538079,plastic ,packaging,fresh and ready 
4606391,plastic ,bottle ,gatorade 
4598962,plastic ,candy wrapper ,gobstoppers 
4578505,plastic ,food wrapper ,Gogurt
4578527,paper ,food wrapper ,halls 
4538287,aluminum ,candy wrapper ,Hershey's 
4538080,plastic,Condiment wrapper,hollens 
4598976,paper ,container ,jack in the box 
4584698,paper ,food wrapper ,jack in the box 
4578525,paper ,food container ,jaw busters 
4538066,plastic ,bottle,Kirkland 
4578487,paper ,receipt ,la michocana 
4538083,plastic ,toy,legos 
4578360,paper ,receipt ,little Caesars 
4538078,paper ,cigarette box ,marbolo
4578534,paper ,cigarette box ,marbolo 
4590201,paper ,cigarette ,marbolo 
4590199,paper ,cigarette ,marbolo 
4590180,plastic ,food wrapper ,maruchan 
4584723,paper ,bag ,mcdonalds 
4598981,plastic ,condiment ,mcdonalds 
4598978,plastic ,container ,mcdonalds 
4538087,paper ,cup ,mcdonalds 
4578512,plastic ,cup ,mcdonalds 
4578510,plastic ,lid ,mcdonalds 
4584721,plastic ,container ,mentos 
4584712,plastic ,container ,mentos 
4578517,plastic ,gum container ,mentos 
4590188,aluminum ,can ,mike's hard 
4590191,aluminum ,can ,monster 
4606402,plastic ,container ,nonni's 
4606385,paper ,gum wrapper ,orbit 
4538268,paper ,receipt ,papyrus 
4578519,plastic ,food wrapper ,power crunch 
4590197,plastic ,wrapper ,Quaker Oats 
4578378,paper ,receipt ,Ralphs 
4578503,plastic ,candy wrapper ,Reese's 
4590179,plastic ,cup,share tea 
4590198,plastic ,candy wrapper ,snickers 
4578536,plastic,stirrer ,Starbucks
4577981,paper ,cup,Starbucks 
4577929,plastic ,cup,Starbucks 
4538077,plastic ,cup,Starbucks 
4590187,plastic ,cup ,Starbucks 
4590186,plastic ,cup ,Starbucks 
4578518,plastic ,cup ,Starbucks 
4578490,plastic ,cup ,Starbucks 
4538084,plastic ,"lid, straw ",starbucks 
4538171,plastic ,lid ,Starbucks 
4538170,plastic ,lid ,Starbucks 
4598945,plastic ,Stirrer ,Starbucks 
4584704,paper ,label ,Stella Artois 
4538072,paper,packaging ,Sylvania 
4598974,plastic ,condiment wrapper ,Taco Bell 
4538123,plastic ,cup ,The habit 
4538076,paper ,cigarette box ,time 
4578354,plastic ,candy wrapper ,twizzlers
4584718,plastic ,food wrapper ,vetro 
4578493,plastic ,cup ,wienerschnitzel 
4578532,paper ,gum wrapper ,wrigleys 
4590204,plastic ,bag,
4598972,plastic ,bag ,
4584711,plastic ,bag ,
4584709,plastic ,bag ,
4538068,plastic ,binder clip ,
4579075,metal ,bottle cap ,
4538232,plastic,bottle cap ,
4598971,plastic ,bottle cap ,
4598946,plastic ,bottle cap ,
4598940,plastic ,bottle cap ,
4578374,plastic ,bottle cap ,
