id,Material,Item,Brand,Notes
4535691,metal,bottlecap,805,
4614387,plastic,foodwrapper,3musketeers,
4535729,plastic,foodwrapper,3musketeers,
4535663,plastic,foodwrapper,3musketeers,
4535661,plastic,foodwrapper,3musketeers,
4535653,plastic,foodwrapper,3musketeers,
4590157,paper,receipt,99centsonly,
4535672,paper,receipt,99centsonly,
4648036,paper,cup,ampm,
4632016,paper,pricetag,and1,
4590111,paper,receipt,bakersdrivethru,
4632023,paper,strawwrapper,bakersdrivethru,
4648031,plastic,scrap,blackandmild,
4639266,plastic,strawwrapper,bobateahouse,
4574858,plastic,foodwrapper,bublibubli,
4535759,plastic,foodwrapper,bublibubli,
4517566,metal,bottlecap,budlight,
4517547,metal,bottlecap,budlight,
4584056,paper,receipt,burgerking,
4620319,paper,cigarette,camel,
4599092,paper,cigarette,camel,
4599083,paper,cigarette,camel,
4599073,paper,cigarette,camel,
4584049,paper,cigarette,camel,
4584034,paper,cigarette,camel,
4584013,paper,cigarette,camel,
4574835,paper,cigarette,camel,
4574833,paper,cigarette,camel,
4574798,paper,cigarette,camel,
4541954,paper,cigarette,camel,
4535687,paper,cigarette,camel,
4535684,paper,cigarette,camel,
4535683,paper,cigarette,camel,
4535679,paper,cigarette,camel,
4535678,paper,cigarette,camel,
4535652,paper,cigarette,camel,
4517625,paper,cigarette,camel,
4517584,paper,cigarette,camel,
4584064,paper,miscwrapper,camel,
4590137,paper,packaging,camel,
4584068,paper,cup,carlsjr,
4535716,paper,cup,carlsjr,
4648053,paper,foodwrapper,carlsjr,
4599051,plastic,beveragebottle,casacardenas,
4535757,plastic,foodwrapper,charlestonchew,
4535766,plastic,foodwrapper,charms,
4535752,plastic,foodwrapper,cheetos,
4535670,plastic,foodwrapper,cheetos,
4535662,plastic,foodwrapper,cheetos,
4535721,plastic,foodwrapper,cherryhead,
4574836,paper,napkin,chipotle,
4614348,paper,receipt,circlek,
4574850,plastic,foodwrapper,clifbar,
4574813,plastic,foodwrapper,clifbar,
4620335,plastic,bottlecap,cocacola,
4584014,plastic,bottlecap,cocacola,
4620304,plastic,miscwrapper,coors,
4517568,metal,bottlecap,coronaextra,
4517560,metal,bottlecap,coronaextra,
4584076,paper,receipt,costco,
4620313,plastic,foodwrapper,crunch,
4599057,paper,miscwrapper,curad,
4632031,paper,pricetag,ddsdiscounts,
4620327,plastic,foodwrapper,doritos,
4535689,plastic,foodwrapper,doritos,
4584016,metal,bottlecap,dosequis,
4541963,metal,bottlecap,dosequis,
4517624,metal,bottlecap,dosequis,
4517600,metal,bottlecap,dosequis,
4517603,plastic,label,dosequis,
4648084,plastic,beveragebottle,drpepper,
4590138,metal,beveragecan,drthunder,
4599075,paper,foodwrapper,dubblebubble,
4599093,plastic,foodwrapper,dulcesvero,
4574865,plastic,foodwrapper,dulcesvero,
4590165,paper,foodwrapper,dumdums,
4517631,metal,householdbattery,duracell,
4599074,plastic,cigarwrapper,dutchmasters,
4599052,plastic,foodcontainer,eggstime,
4599040,plastic,foodwrapper,eggstime,
4639261,plastic,foodwrapper,enchilokas,
4599081,plastic,foodwrapper,enchilokas,
4535654,plastic,foodwrapper,fleming's,
4574851,plastic,condomwrapper,fpawomenshealth,
4590141,plastic,packaging,franklin,
4574859,paper,flyer,freshstartministries,
4574779,plastic,bottlecap,gatorade,
4535715,plastic,candywrapper,gobstopper,
4599102,paper,pricetag,goodwill,
4614366,paper,cigarette,gudanggaram,
4574854,paper,foodwrapper,halls,
4574842,paper,foodwrapper,halls,
4541973,paper,foodwrapper,halls,
4517580,paper,miscwrapper,halls,
4584078,plastic,foodwrapper,haribo,
4639231,metal,wrappedfood,hersheys,
4620311,plastic,condimentwrapper,hollens,
4535755,plastic,foodwrapper,hubbabubba,
4517630,paper,gumwrapper,hubbabubba,
4535769,plastic,foodwrapper,ibcrootbeer,
4517582,paper,foodwrapper,innoutburger,
4535736,paper,receipt,jackinthebox,
4535747,paper,receipt,johnsellsstuffliquidationoutlet,
4599080,plastic,foodwrapper,jollyrancher,
4648044,plastic,beveragebottle,kirkland,
4590127,plastic,beveragebottle,kirkland,
4517636,plastic,beveragebottle,kirkland,
4639277,plastic,foodwrapper,kitkat,
4584065,plastic,foodwrapper,kitkat,
4574855,plastic,foodwrapper,kitkat,
4535698,paper,cigarette,kool,
4639274,plastic,drinkpouch,koolaid,
4639250,plastic,foodwrapper,kopiko,
4599088,plastic,foodwrapper,laffytaffy,
4599086,plastic,foodwrapper,laffytaffy,
4599066,plastic,foodwrapper,laffytaffy,
4535762,plastic,foodwrapper,lemonhead,
4535713,paper,label,lifealert,
4590108,paper,napkin,littlecaesars,
4614362,fabric,diaper,luvs,
4599067,paper,foodwrapper,mamba,
4614369,paper,receipt,mariascafe,
4639259,paper,cigarette,marlboro,
4535767,paper,cigarette,marlboro,
4517633,paper,cigarette,marlboro,
4574822,paper,receipt,maxifoods,
4584063,paper,bag,mcdonalds,
4535750,cardboard,foodcontainer,mcdonalds,
4535681,paper,foodcontainer,mcdonalds,
4639247,plastic,lid,mcdonalds,
4590154,paper,scrap,mcdonalds,
4590155,plastic,foodwrapper,milkyway,
4584054,paper,desiccantbag,minipac,
4574832,paper,foodwrapper,mms,
4535725,paper,foodwrapper,mms,
4620323,plastic,miscwrapper,modelo,
