id,Material,Item,Brand,Notes
2109474,Plastic,Wrapper,Bluebunny,
2109469,Plastic,Bottle,Dawn Mist,
2136692,Paper,Receipt,Hibachisan,
2107586,Glass,Bottle,IPA,
2109484,Plastic,Bottle,Kirkland,
2107603,Plastic,Wrapper,KitKat,
2107571,Plastic,Tube container,Lancome,
2107589,Plastic,Wrapper,MAX,
2136658,Paper,Wrapper,McDonald's,
2136681,Plastic,Wrapper,Nature Valley,
2136682,Plastic,Wrapper,Nature Valley,
2109504,Paper,Wrapper,Nestle,
2109738,Plastic,Cup,Oikos,
2107572,Plastic,Wrapper,Panda Express,
2136616,Plastic,Wrapper,Saladitas,
2107587,Plastic,Wrapper,Snickers,
2109481,Glass,Bottle,Starbucks,
2109485,Plastic,Wrapper,Starburst,
2109759,Paper,Sheet,UCR,
2136680,Plastic,Wrapper,UCR,
2107602,Plastic,Bag,Ziplock,
2107588,Plastic,Bag,,
2136638,Plastic,Bag,,
2118232,"Plastic, cloth",Bandaid,,
2107570,Plastic,Bookend,,
2107604,"Paper, Cellulose acetate",Cigarette,,
2107605,"Paper, Cellulose acetate",Cigarette,,
2107609,"Paper, Cellulose acetate",Cigarette,,
2107610,"Paper, Cellulose Acetate",Cigarette,,
2107612,"Paper, Cellulose acetate",Cigarette,,
2109486,"Paper, Cellulose acetate",Cigarette,,
2109764,Cellulose acetate,Cigarette filter,,
2107599,"Plastic, Foam",Container,,
2107600,"Plastic, Foam",Container,,
2107601,Paper,Cup,,
2107585,Cloth,Filter,,
2109744,Cloth,Filter,,
2118234,Cloth,Filter,,
2118244,Cloth,Filter,,
2118247,Cloth,Filter,,
2118249,Cloth,Filter,,
2136646,Cloth,Filter,,
2136648,Cloth,Filter,,
2118230,Polyisobutylene,Gum,,
2118238,"Paper, foil",Gum wrapper,,
2107568,Cloth,Jacket,,
2109503,Paper,Napkin,,
2136619,Styrofoam,Packing peanut,,
2109470,Wood,Pencil,,
2136618,"Plastic, Metal",Razerblade Head,,
2136628,Glass,Shard,,
2107590,Paper,Sheet,,
2107597,Paper,Sheet,,
2109757,Paper,Sheet,,
2109763,Paper,Sheet,,
2136640,Paper,Sheet,,
2136663,Paper,Sheet,,
2136676,Paper,Sheet,,
2136677,Paper,Sheet,,
2136678,Paper,Sheet,,
2136679,Paper,Sheet,,
2136620,Cloth,Shirt,,
2107584,Plastic,Straw wrapper,,
2109482,Plastic,Straw wrapper,,
2136623,Plastic,Tape,,
2109745,Paper,Tissue,,
2109748,Paper,Tissue,,
2109751,Paper,Tissue,,
2136621,Paper,Tissue,,
2136631,Paper,Tissue,,
2136633,Paper,Tissue,,
2136644,Paper,Tissue,,
2136647,Paper,Tissue,,
2136662,Paper,Tissue,,
2136664,Paper,Tissue,,
2107613,Plastic,Utensil handle,,
2118243,Styrofoam,Washer,,
2107569,Paper,Wrapper,,
2109521,Paper,Wrapper,,
2109525,Paper,Wrapper,,
2109739,Paper,Wrapper,,
2109741,Paper,Wrapper,,
2109743,Paper,Wrapper,,
2109750,Paper,Wrapper,,
2109752,Paper,Wrapper,,
2118229,Paper,Wrapper,,
2118250,Paper,Wrapper,,
2118251,Paper,Wrapper,,
2118255,Paper,Wrapper,,
2136627,Paper,Wrapper,,
2136639,Paper,Wrapper,,
2136656,Paper,Wrapper,,
2109761,"Paper, foil",Wrapper,,
2109770,"Paper, foil",Wrapper,,
2107573,Plastic,Wrapper,,
2107583,Plastic,Wrapper,,
2107592,Plastic,Wrapper,,
2107593,Plastic,Wrapper,,
2107594,Plastic,Wrapper,,
2107595,Plastic,Wrapper,,
2107596,Plastic,Wrapper,,
2107614,Plastic,Wrapper,,
2109473,Plastic,Wrapper,,
2109530,Plastic,Wrapper,,
2109765,Plastic,Wrapper,,
2109767,Plastic,Wrapper,,
2109771,Plastic,Wrapper,,
2109773,Plastic,Wrapper,,
2109774,Plastic,Wrapper,,
2109775,Plastic,Wrapper,,
2109776,Plastic,Wrapper,,
2109777,Plastic,Wrapper,,
2109778,Plastic,Wrapper,,
2118235,Plastic,Wrapper,,
2118240,Plastic,Wrapper,,
2118241,Plastic,Wrapper,,
2136625,Plastic,Wrapper,,
2136632,Plastic,Wrapper,,
2136634,Plastic,Wrapper,,
2136637,Plastic,Wrapper,,
2136642,Plastic,Wrapper,,
2136643,Plastic,Wrapper,,
2136645,Plastic,Wrapper,,
2136649,Plastic,Wrapper,,
2136651,Plastic,Wrapper,,
2136652,Plastic,Wrapper,,
2136659,Plastic,Wrapper,,
2136661,Plastic,Wrapper,,
2136683,Plastic,Wrapper,,
2136684,Plastic,Wrapper,,
2136685,Plastic,Wrapper,,
2136686,Plastic,Wrapper,,
2136687,Plastic,Wrapper,,
2136690,Plastic,Wrapper,,
2136691,Plastic,Wrapper,,
2118256,Paper,,,
2109740,Paper,,,
2109742,Paper,,,
2109747,Paper,,,
2109768,Paper,,,
2118236,Paper,,,
2118237,Paper,,,
2118239,Paper,,,
2118242,Paper,,,
2118245,Paper,,,
2118246,Paper,,,
2118248,Paper,,,
2118252,Paper,,,
2118253,Paper,,,
2136626,Paper,,,
2136629,Paper,,,
2136641,Paper,,,
2136657,Paper,,,
2136660,Paper,,,
2136665,Paper,,,
2136666,Paper,,,
2136668,Paper,,,
2136671,Paper,,,
2136672,Paper,,,
2136674,Paper,,,
2136675,Paper,,,
2109471,Plastic,,,
2109472,Plastic,,,
2118231,Plastic,,,
2136617,Plastic,,,
2136624,Plastic,,,
2136630,Plastic,,,
2136636,Plastic,,,
2136650,Plastic,,,
2136655,Plastic,,,
