id,Material,Item,Brand,Notes
2148191,styrofoam,cup,polar pop,two items mistake
2148189,paper,lottery ticket,ca lotto,
2148173,paper,cigarette box,camel,
2153348,plastic,cigarette butt,camel,
2153337,plastic,bag,circle k,
2153335,glass,bottle,corona,
2153336,glass,bottle,corona,
2153338,glass,bottle,corona,
2153339,glass,bottle,corona,
2153340,glass,bottle,corona,
2153342,metal,bottle cap,corona,
2148177,paper,container,dots,
2153328,plastic,food wrapper,froot by the foot,
2148197,paper,flyer,kaiser,
2153352,plastic,cigarette box,kool,
2148188,styrofoam,cup,maruchan,
2153321,metal,bottle cap,mccormick,
2148190,plastic,plastic lid,mcdonalds,
2153327,plastic,candy wrapper,mentos,
2148196,plastic,food wrapper,nutter butter,
2148195,plastic,food wrapper,plum organics,
2148184,styrofoam,cup,polar pop,
2148185,styrofoam,cup,polar pop,
2153330,styrofoam,cup,polar pop,
2153331,plastic,plastic straw,polar pop,
2153324,plastic,candy wrapper,reeses,
2153326,paper,wrapper,rhino,
2148178,plastic,candy wrapper,skittles,
2148176,plastic,candy wrapper,snickers,
2148182,plastic,plastic straw,starbucks,
2153341,plastic,bag,,
2153350,plastic,cigarette butt,,
2148198,plastic,container,,
2148180,plastic,glove,,
2148174,cardboard,miscellaneous,,
2148192,metal,miscellaneous,,
2148186,paper,napkin,,
2148187,paper,napkin,,
2148175,plastic,plastic lid,,
2153325,plastic,plastic lid,,
2148179,paper,plate,,
2148183,paper,plate,,
2153346,paper,plate,,
2153334,plastic,wrapper,,
2148181,cardboard,,,
2148193,cardboard,,,
2153349,glass,,,
2153347,plastic,,,
2153322,styrofoam,,,
