id,Material,Item,Brand
2202988,plastic,bottle,7 eleven
2166399,paper,container,7 eleven
2166398,paper,container,7 eleven
2166383,plastic,lid,7 eleven
2183584,plastic,candy wrapper,air heads
2177557,metal,phone,alcatel
2177556,metal,phone,alcatel
2177568,plastic,food wrapper,annies
2198902,plastic,bottle,arrowhead
2177563,plastic,food wrapper,belvita
2177565,plastic,food wrapper,bimbo
2177545,plastic,wrapper,bud light
2183576,paper,cup,buffalo wild wings
2183599,glass,bottle,calypso
2166379,plastic,cigarette box,camel
2202952,plastic,cigarette butt,camel
2198893,plastic,bag,cheetos
2202960,plastic,food wrapper,cheetos
2183605,plastic,candy wrapper,chili rokas
2166394,paper,coffee cup,circle k
2177567,plastic,bottle,coke
2183588,aluminum,can,coke
2198886,styrofoam,cup,con saladito
2198885,styrofoam,cup,con saladito
2177549,glass,bottle,corona
2166362,paper,receipt,costco
2183580,plastic,container,dannon
2198895,plastic,plastic lid,dart
2202956,paper,container,del taco
2183579,plastic,food wrapper,del taco
2202953,plastic,food wrapper,dick & jane
2177540,plastic,food wrapper,el monterey
2202972,plastic,cup,farmer boys
2183610,plastic,food wrapper,fiber one
2202970,plastic,container,flarp
2202986,plastic,food wrapper,frito lay
2198929,plastic,wrapper,game leaf
2183602,plastic,food wrapper,general mills
2183586,plastic,candy wrapper,ghiradelli
2177553,plastic,bag,great value
2198874,plastic,bottle,great value
2198881,plastic,container,heinz
2166406,paper,bag,jack in the box
2198908,plastic,cup,jack in the box
2177561,plastic,wrapper,kelloggs
2166408,plastic,juice box,kool aid
2183585,plastic,food wrapper,la fiesta
2202974,paper,bag,little ceasars
2183587,plastic,food wrapper,market pantry
2202954,plastic,cigarette box,marlboro
2183601,plastic,cigarette box,marlboro
2166386,plastic,cigarette box,marlboro
2202966,plastic,cigarette butt,marlboro
2202949,plastic,cigarette butt,marlboro
2198869,plastic,cigarette butt,marlboro
2183603,plastic,cigarette butt,marlboro
2183569,plastic,cigarette butt,marlboro
2166373,paper,lid,maruchan
2183564,rubber,glove,maxiflex
2202975,paper,bag,mcdonalds
2166410,paper,coffee cup,mcdonalds
2166370,paper,container,mcdonalds
2198899,plastic,cup,mcdonalds
2183582,plastic,food wrapper,mcdonalds
2177564,plastic,plastic lid,mcdonalds
2177544,plastic,plastic lid,mcdonalds
2198873,plastic,straw,mcdonalds
2202984,plastic,food wrapper,nature valley
2166389,plastic,cigarette box,newport
2166358,plastic,cigarette butt,newport
2177551,plastic,water bottle,niagara
2202985,styrofoam,cup,polar pop
2166374,styrofoam,cup,polar pop
2166366,styrofoam,cup,polar pop
2183571,plastic,straw,polar pop
2177559,plastic,candy wrapper,pulparindo
2198897,plastic,food wrapper,quaker
2198927,plastic,candy wrapper,reeses
2198870,plastic,candy wrapper,reeses
2166407,plastic,candy wrapper,ring pop
2183606,plastic,food wrapper,ruffles
2166376,plastic,food wrapper,ruffles
2177555,plastic,wrapper,scotch
2202963,plastic,candy wrapper,smarties
2202980,plastic,candy wrapper,snickers
2198868,aluminum,can,squirt
2183594,plastic,plastic cup,starbucks
2202957,plastic,plastic straw,starbucks
2198891,plastic,straw,starbucks
2183573,plastic,straw,starbucks
2177541,paper,candy wrapper,starburst
2202964,plastic,candy wrapper,starburst
2183577,plastic,candy wrapper,starburst
2166372,plastic,candy wrapper,starburst
2198928,plastic,wrapper,swisher sweets
2166412,plastic,wrapper,swisher sweets
2198892,plastic,plastic cup,taco bell
2198884,plastic,plastic cup,taco bell
2202965,plastic,candy wrapper,tootsie roll
2198879,plastic,candy wrapper,tootsie roll
2166415,plastic,container,trident
2166409,plastic,candy wrapper,trolli
2166361,plastic,wrapper,tylenol
2198888,paper,bag,wendys
2202950,paper,cup,wendys
2183611,paper,container,wienerschnitzel
2202979,plastic,cigarette butt,winston
2177570,plastic,gum wrapper,wrigleys
2166377,plastic,bag,ziploc
2183600,plastic,bag,
2166375,plastic,bag,
2166371,paper,book,
2198889,plastic,bottle cap,
2177552,plastic,bottle cap,
2166402,plastic,bottle cap,
2166364,plastic,bottle cap,
2183578,cardboard,box,
2166391,paper,card,
2202977,plastic,cigarette butt,
2202967,plastic,cigarette butt,
2202962,plastic,cigarette butt,
2202961,plastic,cigarette butt,
2198878,plastic,cigarette butt,
2183574,plastic,cigarette butt,
2183572,plastic,cigarette butt,
2183570,plastic,cigarette butt,
2166387,plastic,cigarette butt,
2166378,plastic,cigarette butt,
2166365,plastic,cigarette butt,
2166413,metal,coffee cup,
2183592,plastic,container,
2166392,plastic,container,
2166384,plastic,container,
2202976,plastic,cup,
2202968,styrofoam,cup,
2183612,styrofoam,cup,
2183609,styrofoam,cup,
2166393,styrofoam,cup,
2166380,styrofoam,cup,
2198907,paper,food wrapper,
2177558,plastic,food wrapper,
2177546,plastic,food wrapper,
2166382,plastic,food wrapper,
2202958,metal,fork,
2183565,rubber,glove,
2202955,aluminum,lid,
2198910,plastic,lid,
2198877,plastic,lid,
2183598,plastic,lid,
2183575,plastic,lid,
2198871,paper,lottery ticket,
2198896,paper,miscellaneous,
2198883,paper,miscellaneous,
2183581,paper,miscellaneous,
2198903,plastic,miscellaneous,
2183567,plastic,miscellaneous,
2177562,plastic,miscellaneous,
2177550,plastic,miscellaneous,
2198900,paper,napkin,
2183590,paper,napkin,
2177547,paper,napkin,
2166404,paper,napkin,
2166396,paper,napkin,
2166395,paper,napkin,
2166381,paper,napkin,
2166363,,orange peel,
2198898,paper,paper towel,
2183597,paper,paper towel,
2198930,plastic,plastic bag,
2183596,plastic,plastic bag,
2198875,plastic,plastic cup,
2183583,plastic,plastic fork,
2202969,plastic,plastic lid,
2183607,plastic,plastic lid,
2177548,plastic,plastic lid,
2166369,plastic,plastic lid,
2166388,plastic,plastic straw,
2198894,paper,plate,
2198887,paper,plate,
2198882,paper,plate,
2183593,paper,plate,
2202959,paper,receipt,
2183568,paper,receipt,
2183566,paper,receipt,
2202978,plastic,ribbon,
2198909,plastic,straw,
2198890,plastic,straw,
2198876,plastic,straw,
2166385,plastic,straw,
2177542,aluminum,tinfoil,
2198880,plastic,water bottle,
2202973,paper,wrapper,
2166400,paper,wrapper,
2202987,plastic,wrapper,
2198901,plastic,wrapper,
2183591,plastic,wrapper,
2177569,plastic,wrapper,
2177560,plastic,wrapper,
2198872,bag of trash,,
2177543,cottonbud,,
2202981,paper,,
2183608,paper,,
2183604,paper,,
2166414,paper,,
2166390,paper,,
2202971,styrofoam,,
2166403,styrofoam,,
