id,Material,Item,Brand
1995010,paper,food packaging,5
2027189,paper,gum wrapper,5
1995050,plastic,Beverage Bottle,711
1981981,plastic,Bottle,711
1943791,Paper,Cup,711
1943784,plastic,food wrapper,711
1943801,plastic,Food Wrapper,711
1958810,plastic,Food Wrapper,711
1943791,Plastic,Lid,711
1943791,Plastic,Straw,711
1988550,plastic,food wrapper,air heads
1929178,Plastic,Tobacco Wrapper,Backwoods
1958741,paper,bag,Bakers
1988521,paper,bag,Bakers
1995064,paper,bag,bakers
1913875,Plastic,Sauce Packet,Bakers
1958750,plastic,sauce packet,Bakers
1958751,plastic,sauce packet,Bakers
1982078,paper,receipt,bankofamerica
1913805,Plastic,Lid,Big Gulp
2004403,plastic,cup,blaze pizza
1970195,metal,can,bud Light
2004489,plastic,beverage bottle,cacique
1943669,Plastic,cigarette,camel
1958861,Plastic,cigarette,camel
1982062,plastic,cigarette,camel
1988540,plastic,cigarette,camel
2021440,plastic,cigarette,camel
1995028,paper,tobacco packaging,camel
2021565,paper,packaging,carmex
1982104,plastic,food wrapper,cheetos
1958827,plastic,Food Wrapper,chesters
1988501,paper,cup,chipotle
1913863,Food,,Chiquita
1913924,Plastic,Bag,Churches
1913924,Plastic,Straw,Churches
1913852,Plastic,Foam Cup,Circle K
1913911,Plastic,Foam Cup,Circle K
2004445,plastic,foam cup,circle k
2021454,plastic,foam cup,circle k
2021567,plastic,foam cup,circle k
2027123,plastic,foam cup,circle k
2004445,plastic,lid,circle k
2021567,plastic,lid,circle k
1913837,Paper,Reciept,Circle K
1913855,Paper,Reciept,Circle K
2004445,plastic,straw,circle k
2021567,plastic,straw,circle k
1958826,plastic,container,clear eyes
1970150,plastic,Beverage Bottle,coca cola
1958740,metal,can,coca cola
1970150,plastic,lid,coca cola
1913831,Paper,Cup,Coffee Bean
1913930,Paper,Cup,Cold Stone
1988514,plastic,food wrapper,conchas
1995026,metal,can,coors
2004447,metal,can,coors
1958752,metal,bottle cap,corona
1913718,Metal,Bottlecap,Corona
1958754,metal,bottlecap,corona
1995009,metal,bottlecap,corona
1929136,Plastic,,Corona
1929147,Plastic,Cup,Dart
1958739,paper,cup,del taco
1929173,Plastic,Cup,Del Taco
2021599,plastic,cup,del taco
1913812,Paper,Food Wrapper,Del Taco
1970119,paper,food wrapper,del taco
2004432,paper,food wrapper,del taco
1995072,paper,label,del taco
1970027,plastic,lid,del taco
2021595,paper,reciept,del taco
1913792,Plastic,Sauce Packet,Del Taco
1913876,Plastic,Sauce Packet,Del Taco
1970172,plastic,sauce packet,del taco
2004395,plastic,saucepacket,del taco
2004395,plastic,saucepacket,del taco
2004395,plastic,saucepacket,del taco
2004395,plastic,saucepacket,del taco
2027201,plastic,wrapper,dela rosa
1982043,food,banana,dole
1982043,food,banana,dole
1982056,food,banana,dole
1982056,plastic,food wrapper,dole
1913795,Plastic,Food Wrapper,Doritos
1913853,Plastic,Food Wrapper,Doritos
1943674,plastic,food wrapper,doritos
1958738,paper,Food Wrapper,dum-dums
1995058,paper,label,duralast
1913941,Plastic,Tobacco Wrapper,Dutch
1943769,plastic,saucepacket,frenches
1913867,Plastic,Bottlecap,Gatorade
1988528,paper,receipt,Georges Burgers
1995025,plastic,container,gillet
1969987,paper,label,good will
1913934,Paper,,Great Value
2027194,plastic,container,greenbrier International Inc.
1962389,plastic,Food Wrapper,hauls
1988554,plastic,sauce packet,heinz
2021488,plastic,sauce packet,Heinz
1929235,metal,Food Wrapper,hershes
1929235,paper,Food Wrapper,hershes
1943786,cardboard ,drink box,honest kids
1943786,plastic,straw,honest kids
1913838,Plastic,Food Wrapper,Hostess
1929155,Plastic,Food Wrapper,Hostess
1913776,Plastic,Food Wrapper,Hunts
1995053,plastic,food container,I Hop
2004407,plastic,food container,I Hop
2004441,plastic,sauce packet,I hop
1970126,paper,cup,in n out
1970190,paper,cup,in n out
1970126,plastic,lid,in n out
1970190,plastic,lid,in n out
2004419,paper,reciept,in n out
1970126,plastic,straw,in n out
1970190,plastic,straw,in n out
1943670,paper,bag,jack in the box
1913932,Plastic,Cup,Jack in the Box
1913933,Plastic,Cup,Jack in the Box
1958757,Plastic,Cup,jack in the box
1913813,Paper,Food Container,Jack in the Box
1913895,Paper,Food Container,Jack in the Box
1958758,paper,Food Container,jack in the box
1913848,Plastic,Lid,Jack in the Box
1913933,Plastic,Lid,Jack in the Box
1958757,plastic,lid,jack in the box
1929201,plastic,Sauce Packet,Jack in the Box
1943701,plastic,Sauce Packet,jack in the box
1943726,plastic,Sauce Packet,jack in the box
1970166,plastic,sauce packet,jack in the box
1970207,Plastic,sauce packet,jack in the box
1970217,Plastic,sauce packet,jack in the box
1970182,plastic,saucepacket,jack in the box
1970188,plastic,saucepacket,jack in the box
1913933,Plastic,Straw,Jack in the Box
1970229,paper,food container,jackinthebox
1943675,paper,receipt,jackinthebox
1929172,Plastic,Food Wrapper,Jolly Rancher
1982030,plastic,cup,juiceitup
1982030,plastic,lid,juiceitup
1982030,plastic,straw,juiceitup
1988513,plastic,food wrapper,kellogs
1913751,Plastic,Food Container,Kens
1982002,metal,can,king cobra
1929154,Plastic,Food Wrapper,Kirkland
2021532,plastic,food wrapper,kitkat
1913820,Paper,Informational,Knotts Berry Farm
1913819,Plastic,Food Container,Kool-Aid
1958737,plastic,Beverage Bottle,kroger
1958737,plastic,bottle cap,kroger
1929210,plastic,food wrapper,lemonhead
2027198,paper,napkin,little caesars
2004496,paper,packaging,little trees
1988515,plastic,food wrapper,lucas
1962401,plastic,food wrapper,m&m
1913748,Plastic,Cigarette,Marlboro
1913799,Plastic,Cigarette,Marlboro
1929186,Plastic,cigarette,marlboro
1929198,Plastic,cigarette,marlboro
1929207,Plastic,cigarette,marlboro
1958749,plastic,cigarette,marlboro
1958775,plastic,cigarette,marlboro
1982050,plastic,cigarette,marlboro
1982052,Plastic,cigarette,marlboro
1988494,plastic,cigarette,marlboro
1988495,plastic,cigarette,marlboro
2004404,plastic,cigarette,marlboro
2004414,plastic,cigarette,marlboro
2021417,plastic,cigarette,marlboro
2021470,plastic,cigarette,marlboro
2021609,plastic,cigarette,marlboro
2004406,paper,cigarette pack,marlboro
1982095,plastic,foam packaging,maruchan
1995059,paper,tobacco packaging,Maverick
1943764,cloth,,maxcold
1913835,Paper,Bag,McDonalds
1913889,Paper,Cup,McDonalds
1913907,Paper,Cup,McDonalds
2021439,paper,food wrapper,mcdonalds
1913889,Plastic,Lid,McDonalds
1913907,Plastic,Lid,McDonalds
1929214,Plastic,Lid,mcdonalds
1943734,plastic,lid,mcdonalds
1982032,plastic,lid,mcdonalds
1913936,Plastic,Sauce Packet,McDonalds
1913889,Plastic,Straw,McDonalds
1913907,Plastic,Straw,McDonalds
1929214,Plastic,Straw,mcdonalds
1958833,plastic,straw,mcdonalds
1913818,Plastic,Wrapper,Mckesson
1970232,plastic,food wrapper,mini doughnut
1970114,paper,label,missy plus tops
1943668,plastic,Food Wrapper,nature valley
2021463,plastic,food wrapper,nature valley
1913870,Plastic,Food Wrapper,Nemos Chocolate Cake
1913921,Plastic,Beverage Bottle,Nestle
2021584,plastic,food wrapper,nestle
1929134,Plastic,Beverage Bottle,Niagara
1929134,Plastic,Bottle Cap,Niagara
1988547,plastic,cigarette,nxt
1970020,Paper,Cup,Ono Hawiian BBQ
1970020,Plastic,Lid,Ono Hawiian BBQ
1970020,Plastic,Straw,Ono Hawiian BBQ
1913866,Plastic,Container,Oral-B
1988552,paper,napkin,paper
1943731,paper,informational,Pink
1913828,Plastic,Styrofoam Cup,Polar Pop
1913783,Plastic,Food Wrapper,Pop Tarts
2004487,paper,cup,popeyes
2004455,plastic,lid,popeyes
1913857,Paper,Reciept,Popeyes
2021550,paper,reciept,popeyes
2004455,plastic,straw,popeyes
2004412,paper,straw wrapper,popeyes
1913815,Plastic,Lid,Prairie City Bakery
1913801,Cardboard,Box,Quaker
1913833,Plastic,Food Wrapper,Quaker
1913898,Paper,Box,Quickfix
1929140,Plastic,Food Wrapper,Red Vines
1929208,Plastic,Food Wrapper,reeses
1995049,plastic,food wrapper,reeses
1958765,glass,bottle,remy martin
2004440,plastic,food wrapper,resess
2021473,paper,food packaging,ritz
1913836,Plastic,Tobacco Wrapper,Royal Blunts
1913846,Paper,Lottery Ticket,Scratchers
2021477,plastic,food packaging,short n sweet
1958744,plastic,Tobacco Wrapper,Show
1988551,plastic,food packaging,skwinkles
2021540,plastic,food wrapper,slim jim
