Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,id,url,lon,lat,photo_url,thumbnail_url,photo_timestamp,Material,Item,Brand,Notes
"wrapper,starburst,plastic",id: 2139092<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/d16afd41-5a74-326b-b664-b6c4ed4a82df-99977/180x180.jpg<br>lon: -117.2992439<br>lat: 33.9428962<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/d16afd41-5a74-326b-b664-b6c4ed4a82df-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/d16afd41-5a74-326b-b664-b6c4ed4a82df-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:28:40.873+00<br>Material: Plastic<br>Item: Wrapper<br>Brand: Starburst<br>Notes: ,,,,,-1,0,-1,,,2139092.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/d16afd41-5a74-326b-b664-b6c4ed4a82df-99977/180x180.jpg,-117.2992439,33.9428962,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/d16afd41-5a74-326b-b664-b6c4ed4a82df-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/d16afd41-5a74-326b-b664-b6c4ed4a82df-99977/180x180.jpg,2018-11-07 15:28:40.873+00,Plastic,Wrapper,Starburst,
"plastic,candy,starburst",id: 2139091<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/a72a4eaa-b88e-3c24-8768-a0f9b2a5f935-99977/180x180.jpg<br>lon: -117.2992385<br>lat: 33.9427153<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/a72a4eaa-b88e-3c24-8768-a0f9b2a5f935-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/a72a4eaa-b88e-3c24-8768-a0f9b2a5f935-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:28:54.151+00<br>Material: Plastic<br>Item: Wrapper with food<br>Brand: Starburst<br>Notes: ,,,,,-1,0,-1,,,2139091.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/a72a4eaa-b88e-3c24-8768-a0f9b2a5f935-99977/180x180.jpg,-117.2992385,33.9427153,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/a72a4eaa-b88e-3c24-8768-a0f9b2a5f935-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/a72a4eaa-b88e-3c24-8768-a0f9b2a5f935-99977/180x180.jpg,2018-11-07 15:28:54.151+00,Plastic,Wrapper with food,Starburst,
"cigarette,paper",id: 2139051<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/acb617cd-fcfe-30e2-94eb-30040b004254-99977/180x180.jpg<br>lon: -117.2991975<br>lat: 33.9426779<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/acb617cd-fcfe-30e2-94eb-30040b004254-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/acb617cd-fcfe-30e2-94eb-30040b004254-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:29:31.525+00<br>Material: Paper<br>Item: Cigarette<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2139051.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/acb617cd-fcfe-30e2-94eb-30040b004254-99977/180x180.jpg,-117.2991975,33.9426779,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/acb617cd-fcfe-30e2-94eb-30040b004254-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/acb617cd-fcfe-30e2-94eb-30040b004254-99977/180x180.jpg,2018-11-07 15:29:31.525+00,Paper,Cigarette,,
"plastic,cautiontape",id: 2139059<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/396cb914-b7ff-3565-b196-c741fe551cd9-99977/180x180.jpg<br>lon: -117.2992186<br>lat: 33.9426336<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/396cb914-b7ff-3565-b196-c741fe551cd9-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/396cb914-b7ff-3565-b196-c741fe551cd9-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:29:42.873+00<br>Material: Plastic<br>Item: Caution tape<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2139059.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/396cb914-b7ff-3565-b196-c741fe551cd9-99977/180x180.jpg,-117.2992186,33.9426336,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/396cb914-b7ff-3565-b196-c741fe551cd9-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/396cb914-b7ff-3565-b196-c741fe551cd9-99977/180x180.jpg,2018-11-07 15:29:42.873+00,Plastic,Caution tape,,
"styrofoam,circlek",id: 2139090<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/8cb472c5-f322-308a-a665-c82fc55faaaa-99977/180x180.jpg<br>lon: -117.299312<br>lat: 33.9424494<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/8cb472c5-f322-308a-a665-c82fc55faaaa-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/8cb472c5-f322-308a-a665-c82fc55faaaa-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:30:28.762+00<br>Material: Styrofoam<br>Item: Scrap<br>Brand: Circle K<br>Notes: ,,,,,-1,0,-1,,,2139090.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/8cb472c5-f322-308a-a665-c82fc55faaaa-99977/180x180.jpg,-117.299312,33.9424494,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/8cb472c5-f322-308a-a665-c82fc55faaaa-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/8cb472c5-f322-308a-a665-c82fc55faaaa-99977/180x180.jpg,2018-11-07 15:30:28.762+00,Styrofoam,Scrap,Circle K,
"napkin,paper",id: 2139079<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/1827499e-fb63-3b2e-a84b-9787ce5c8781-99977/180x180.jpg<br>lon: -117.2991674<br>lat: 33.9424904<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/1827499e-fb63-3b2e-a84b-9787ce5c8781-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/1827499e-fb63-3b2e-a84b-9787ce5c8781-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:31:14.448+00<br>Material: Paper<br>Item: Napkin<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2139079.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/1827499e-fb63-3b2e-a84b-9787ce5c8781-99977/180x180.jpg,-117.2991674,33.9424904,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/1827499e-fb63-3b2e-a84b-9787ce5c8781-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/1827499e-fb63-3b2e-a84b-9787ce5c8781-99977/180x180.jpg,2018-11-07 15:31:14.448+00,Paper,Napkin,,
"cigarette,paper",id: 2139080<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/e5678cf5-31c9-3942-9f1d-9b1f63cb6489-99977/180x180.jpg<br>lon: -117.2992983<br>lat: 33.9430876<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/e5678cf5-31c9-3942-9f1d-9b1f63cb6489-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/e5678cf5-31c9-3942-9f1d-9b1f63cb6489-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:33:41.794+00<br>Material: Paper<br>Item: Cigarette<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2139080.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/e5678cf5-31c9-3942-9f1d-9b1f63cb6489-99977/180x180.jpg,-117.2992983,33.9430876,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/e5678cf5-31c9-3942-9f1d-9b1f63cb6489-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/e5678cf5-31c9-3942-9f1d-9b1f63cb6489-99977/180x180.jpg,2018-11-07 15:33:41.794+00,Paper,Cigarette,,
"paper,napkin",id: 2139081<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/36a1a6b5-0272-3928-9a4e-fad77a50b404-99977/180x180.jpg<br>lon: -117.2990572<br>lat: 33.9432666<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/36a1a6b5-0272-3928-9a4e-fad77a50b404-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/36a1a6b5-0272-3928-9a4e-fad77a50b404-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:34:03.442+00<br>Material: Paper<br>Item: Napkin<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2139081.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/36a1a6b5-0272-3928-9a4e-fad77a50b404-99977/180x180.jpg,-117.2990572,33.9432666,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/36a1a6b5-0272-3928-9a4e-fad77a50b404-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/36a1a6b5-0272-3928-9a4e-fad77a50b404-99977/180x180.jpg,2018-11-07 15:34:03.442+00,Paper,Napkin,,
"napkin,paper",id: 2139082<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/c92c4090-2d3a-3114-bdea-178de352a111-99977/180x180.jpg<br>lon: -117.2990618<br>lat: 33.9432246<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/c92c4090-2d3a-3114-bdea-178de352a111-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/c92c4090-2d3a-3114-bdea-178de352a111-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:34:26.603+00<br>Material: Paper<br>Item: Napkin<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2139082.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/c92c4090-2d3a-3114-bdea-178de352a111-99977/180x180.jpg,-117.2990618,33.9432246,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/c92c4090-2d3a-3114-bdea-178de352a111-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/c92c4090-2d3a-3114-bdea-178de352a111-99977/180x180.jpg,2018-11-07 15:34:26.603+00,Paper,Napkin,,
"paper,cup,elpolloloco",id: 2139083<br>url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/82da3b2c-c6c6-34ec-8d1f-4b0f25159dae-99977/180x180.jpg<br>lon: -117.2990655<br>lat: 33.94321682<br>photo_url: https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/82da3b2c-c6c6-34ec-8d1f-4b0f25159dae-99977.jpg<br>thumbnail_url: https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/82da3b2c-c6c6-34ec-8d1f-4b0f25159dae-99977/180x180.jpg<br>photo_timestamp: 2018-11-07 15:35:02.99+00<br>Material: <br>Item: <br>Brand: <br>Notes: ,,,,,-1,0,-1,,,2139083.0,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/82da3b2c-c6c6-34ec-8d1f-4b0f25159dae-99977/180x180.jpg,-117.2990655,33.94321682,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/11/07/82da3b2c-c6c6-34ec-8d1f-4b0f25159dae-99977.jpg,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/11/07/82da3b2c-c6c6-34ec-8d1f-4b0f25159dae-99977/180x180.jpg,2018-11-07 15:35:02.99+00,,,,
