Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,challengeId,litterjoinId,litterId,litterTimestamp,litterDatestamp,lat,lon,url,user_id,username,Material,Item,Brand
lid ,challengeId: 1746<br>litterjoinId: 4837276<br>litterId: 4606409<br>litterTimestamp: 1:59:16 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9794664<br>lon: -117.3322323<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693156.5414948_C18F82B6-11C7-44BD-B600-DE21B478564D.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: plastic <br>Item: lid <br>Brand: ,,,,,-1,0,-1,,,1746.0,4837276.0,4606409.0,1:59:16 AM,11/14/2019,33.9794664,-117.3322323,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693156.5414948_C18F82B6-11C7-44BD-B600-DE21B478564D.jpg,151045.0,hnogi001,plastic ,lid ,
candy wrapper ,challengeId: 1746<br>litterjoinId: 4837275<br>litterId: 4606408<br>litterTimestamp: 1:59:47 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9794664<br>lon: -117.3322323<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693187.8375769_9380E6A6-3BD3-4781-A0DE-3C3A97701E33.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: plastic <br>Item: miscwrapper <br>Brand: airheads ,,,,,-1,0,-1,,,1746.0,4837275.0,4606408.0,1:59:47 AM,11/14/2019,33.9794664,-117.3322323,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693187.8375769_9380E6A6-3BD3-4781-A0DE-3C3A97701E33.jpg,151045.0,hnogi001,plastic ,miscwrapper ,airheads 
plastic ,challengeId: 1746<br>litterjoinId: 4837274<br>litterId: 4606407<br>litterTimestamp: 2:00:04 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9794664<br>lon: -117.3322323<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693204.739283_DEAA6610-BC55-48B9-99EA-D25B9B664ED5.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: plastic <br>Item: misc<br>Brand: ,,,,,-1,0,-1,,,1746.0,4837274.0,4606407.0,2:00:04 AM,11/14/2019,33.9794664,-117.3322323,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693204.739283_DEAA6610-BC55-48B9-99EA-D25B9B664ED5.jpg,151045.0,hnogi001,plastic ,misc,
plastic wrapper,challengeId: 1746<br>litterjoinId: 4837273<br>litterId: 4606406<br>litterTimestamp: 2:00:42 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9794664<br>lon: -117.3322323<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693242.446505_99CF1566-25CF-4AEB-9AB2-7634973D2F14.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: plastic <br>Item: miscwrapper<br>Brand: ,,,,,-1,0,-1,,,1746.0,4837273.0,4606406.0,2:00:42 AM,11/14/2019,33.9794664,-117.3322323,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693242.446505_99CF1566-25CF-4AEB-9AB2-7634973D2F14.jpg,151045.0,hnogi001,plastic ,miscwrapper,
cigarette ,challengeId: 1746<br>litterjoinId: 4837272<br>litterId: 4606405<br>litterTimestamp: 2:01:55 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9795252<br>lon: -117.3329357<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693315.271007_02E00FC4-DCEF-47C0-970F-26DFE113F931.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: paper <br>Item: cigarette <br>Brand: ,,,,,-1,0,-1,,,1746.0,4837272.0,4606405.0,2:01:55 AM,11/14/2019,33.9795252,-117.3329357,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693315.271007_02E00FC4-DCEF-47C0-970F-26DFE113F931.jpg,151045.0,hnogi001,paper ,cigarette ,
wrapper ,challengeId: 1746<br>litterjoinId: 4837271<br>litterId: 4606404<br>litterTimestamp: 2:02:04 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9795252<br>lon: -117.3329357<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693324.590946_EF3717D3-84F6-4574-B0B1-71F3C7451858.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: plastic <br>Item: miscwrapper <br>Brand: ,,,,,-1,0,-1,,,1746.0,4837271.0,4606404.0,2:02:04 AM,11/14/2019,33.9795252,-117.3329357,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693324.590946_EF3717D3-84F6-4574-B0B1-71F3C7451858.jpg,151045.0,hnogi001,plastic ,miscwrapper ,
business card ,challengeId: 1746<br>litterjoinId: 4837270<br>litterId: 4606403<br>litterTimestamp: 2:03:58 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9795252<br>lon: -117.3329357<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693438.893038_4F08346A-CF06-4DB6-B515-FFC31C99ACB2.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: paper <br>Item: card <br>Brand: ,,,,,-1,0,-1,,,1746.0,4837270.0,4606403.0,2:03:58 AM,11/14/2019,33.9795252,-117.3329357,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693438.893038_4F08346A-CF06-4DB6-B515-FFC31C99ACB2.jpg,151045.0,hnogi001,paper ,card ,
container ,challengeId: 1746<br>litterjoinId: 4837269<br>litterId: 4606402<br>litterTimestamp: 2:03:24 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9795252<br>lon: -117.3329357<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693404.6836538_45D103EE-1E37-413B-937F-58B73B371EAC.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: plastic <br>Item: container <br>Brand: nonni's ,,,,,-1,0,-1,,,1746.0,4837269.0,4606402.0,2:03:24 AM,11/14/2019,33.9795252,-117.3329357,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693404.6836538_45D103EE-1E37-413B-937F-58B73B371EAC.jpg,151045.0,hnogi001,plastic ,container ,nonni's 
plastic cup,challengeId: 1746<br>litterjoinId: 4837268<br>litterId: 4606401<br>litterTimestamp: 2:04:50 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9795252<br>lon: -117.3329357<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693490.38054_22973BF7-274B-4C67-825A-E75F620704D3.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: plastic <br>Item: cup<br>Brand: ,,,,,-1,0,-1,,,1746.0,4837268.0,4606401.0,2:04:50 AM,11/14/2019,33.9795252,-117.3329357,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693490.38054_22973BF7-274B-4C67-825A-E75F620704D3.jpg,151045.0,hnogi001,plastic ,cup,
cigarette ,challengeId: 1746<br>litterjoinId: 4837267<br>litterId: 4606400<br>litterTimestamp: 2:04:28 AM<br>litterDatestamp: 11/14/2019<br>lat: 33.9795252<br>lon: -117.3329357<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693468.4198499_0F82D1FE-794A-4CEB-8C37-4883BBAF27D7.jpg<br>user_id: 151045<br>username: hnogi001<br>Material: paper<br>Item: cigarette<br>Brand: ,,,,,-1,0,-1,,,1746.0,4837267.0,4606400.0,2:04:28 AM,11/14/2019,33.9795252,-117.3329357,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/13/151045-ltr_1573693468.4198499_0F82D1FE-794A-4CEB-8C37-4883BBAF27D7.jpg,151045.0,hnogi001,paper,cigarette,
