Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,challengeId,litterjoinId,litterId,litterTimestamp,lat,lon,url,user_id,username,Material,Item,Brand,Notes
"paper,scrap",challengeId: 1746<br>litterjoinId: 4909433<br>litterId: 4648098<br>litterTimestamp: 2019-11-22 23:54:20<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463260.139351_73A7CF72-1E8E-4121-9062-1CF601E164A4.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: paper<br>Item: scrap<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909433,4648098,11/22/2019 23:54,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463260.139351_73A7CF72-1E8E-4121-9062-1CF601E164A4.jpg,150567,jacquelines,paper,scrap,,
"scrap,paper",challengeId: 1746<br>litterjoinId: 4909432<br>litterId: 4648097<br>litterTimestamp: 2019-11-22 23:53:06<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463186.05438_F0F174E1-82EA-4D05-B907-BFBC63F293D8.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: paper<br>Item: scrap<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909432,4648097,11/22/2019 23:53,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463186.05438_F0F174E1-82EA-4D05-B907-BFBC63F293D8.jpg,150567,jacquelines,paper,scrap,,
"paper,receipt",challengeId: 1746<br>litterjoinId: 4909431<br>litterId: 4648096<br>litterTimestamp: 2019-11-22 23:55:01<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463301.504245_328E5A4E-1D4F-496F-BD37-079D5EB7275F.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: paper<br>Item: receipt<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909431,4648096,11/22/2019 23:55,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463301.504245_328E5A4E-1D4F-496F-BD37-079D5EB7275F.jpg,150567,jacquelines,paper,receipt,,
"miscwrapper,plastic",challengeId: 1746<br>litterjoinId: 4909430<br>litterId: 4648095<br>litterTimestamp: 2019-11-22 23:53:42<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463222.8721972_F1752DFD-D122-4F9E-9A93-60C8683358DE.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: plastic<br>Item: miscwrapper<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909430,4648095,11/22/2019 23:53,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463222.8721972_F1752DFD-D122-4F9E-9A93-60C8683358DE.jpg,150567,jacquelines,plastic,miscwrapper,,
,challengeId: 1746<br>litterjoinId: 4909423<br>litterId: 4648093<br>litterTimestamp: 2019-11-22 23:52:42<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463162.1664472_36FF7576-E7DA-4620-B593-002F563C9A43.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: <br>Item: <br>Brand: <br>Notes: duplicate,,,,,-1,0,-1,,,1746,4909423,4648093,11/22/2019 23:52,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463162.1664472_36FF7576-E7DA-4620-B593-002F563C9A43.jpg,150567,jacquelines,,,,duplicate
"officepapermail,paper,vanguardlegalgrouppc",challengeId: 1746<br>litterjoinId: 4909422<br>litterId: 4648092<br>litterTimestamp: 2019-11-22 23:51:02<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463062.759139_FD4CC25B-EFF6-4CE7-89D3-0D48E0DC66F1.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: paper<br>Item: officepapermail<br>Brand: vanguardlegalgrouppc<br>Notes: ,,,,,-1,0,-1,,,1746,4909422,4648092,11/22/2019 23:51,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463062.759139_FD4CC25B-EFF6-4CE7-89D3-0D48E0DC66F1.jpg,150567,jacquelines,paper,officepapermail,vanguardlegalgrouppc,
"fragment,plastic",challengeId: 1746<br>litterjoinId: 4909421<br>litterId: 4648091<br>litterTimestamp: 2019-11-22 23:51:41<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463101.13128_F8640571-56F5-407D-B840-FE5791E16328.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: plastic<br>Item: fragment<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909421,4648091,11/22/2019 23:51,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463101.13128_F8640571-56F5-407D-B840-FE5791E16328.jpg,150567,jacquelines,plastic,fragment,,
"fragment,plastic",challengeId: 1746<br>litterjoinId: 4909420<br>litterId: 4648090<br>litterTimestamp: 2019-11-22 23:50:27<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463027.32894_14E1EFC9-FFF8-4697-995D-B6D85B2787ED.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: plastic<br>Item: fragment<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909420,4648090,11/22/2019 23:50,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463027.32894_14E1EFC9-FFF8-4697-995D-B6D85B2787ED.jpg,150567,jacquelines,plastic,fragment,,
"scrap,paper",challengeId: 1746<br>litterjoinId: 4909419<br>litterId: 4648089<br>litterTimestamp: 2019-11-22 23:50:00<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463000.69489_2FC14EBA-2E39-4655-81E8-543E05C3CA2F.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: paper<br>Item: scrap<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909419,4648089,11/22/2019 23:50,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463000.69489_2FC14EBA-2E39-4655-81E8-543E05C3CA2F.jpg,150567,jacquelines,paper,scrap,,
"scrap,paper",challengeId: 1746<br>litterjoinId: 4909412<br>litterId: 4648087<br>litterTimestamp: 2019-11-22 23:50:14<br>lat: 34.0546856<br>lon: -117.2977313<br>url: https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463014.3408651_DCBBA5AF-65A3-41BA-877D-AF894C63E2B2.jpg<br>user_id: 150567<br>username: jacquelines<br>Material: paper<br>Item: scrap<br>Brand: <br>Notes: ,,,,,-1,0,-1,,,1746,4909412,4648087,11/22/2019 23:50,34.0546856,-117.2977313,https://s3.amazonaws.com/litterati-v3-bucket/2019/11/22/150567-ltr_1574463014.3408651_DCBBA5AF-65A3-41BA-877D-AF894C63E2B2.jpg,150567,jacquelines,paper,scrap,,
