id,Material,Item,Brand
2210654,Plastic,Receipt,Arco
2169257,Plastic,Wrapper,Baker's
2230568,Plastic,Wrapper,Banxz Bakery
2200386,Plastic,Lipbalm tube,Blistex
2210668,Plastic,Wrapper,Brown Bag
2217352,Plastic,Wrapper,Chapstick
2169263,"Paper, Cardboard",Box,Colgate
2169252,Plastic,Wrapper,"Conchas, Bimbo"
2217377,Banana,Banana,Dole
2169220,Plastic,Bag,Doritos
2186837,Paper,Lollipop wrapper,DumDums
2169253,Plastic,Bag,Food4Less
2210675,Plastic,Wrapper,Fresh and Ready Foods
2210617,Plastic,Wrapper,GoGurt
2217417,Plastic,Wrapper,Heinz
2183117,Plastic,Wrapper,Heinz
2169247,Plastic,Wrapper,Heinz
2169246,Plastic,Wrapper,Heinz
2169244,Plastic,Wrapper,Heinz
2169243,Plastic,Wrapper,Heinz
2169242,Plastic,Wrapper,Heinz
2169241,Plastic,Wrapper,Heinz
2169240,Plastic,Wrapper,Heinz
2169237,Plastic,Wrapper,Heinz
2169073,Plastic,Bag,Jose Ose
2183100,Plastic,Drink pouch,Kool Aid
2217365,Plastic,Wrapper,Kraft
2183123,Paper,Receipt,Lollicup
2210640,Plastic,Wrapper,Max Lite
2210679,Paper,Bag,McDonald's
2169127,Paper,Bag,McDonald's
2186849,Paper,Metrolink Card,Metrolink
2186843,Paper,Metrolink Card,Metrolink
2186839,Paper,Metrolink Card,Metrolink
2186823,Paper,Metrolink Card,Metrolink
2169250,Plastic,Wrapper,Milky Way
2169258,Paper,Fortune,Panda Express
2210680,Paper,Receipt,Ralphs
2210683,Plastic,Wrapper,Reese's
2186835,Paper,Movie Ticket,Regency Theatres
2186832,Paper,Bus pass,RTA
2183112,Paper,Receipt,Sam's Club
2217355,Plastic,Wrapper,Splitarillos
2183118,Plastic,Bottle,Springfield
2200299,Paper,Receipt,Target
2186799,Paper,Napkin,Ten Rens
2210653,Plastic,Wrapper,Tootsiepop
2210619,"Plastic, Paper",Lollipop,Tootsiepop 
2194129,Paper,Gum wrapper,Trident
2200116,Plastic,Wrapper,Trolli
2183102,Plastic,Wrapper,Twix
2183107,Paper,Name tag,UCR
2230571,Paper,Receipt,UCR
2169256,Paper,Receipt,UCR
2169251,Plastic,Wrapper,Vero
2169091,Plastic,Wrapper,Vero
2202865,Plastic,Wrapper,Welch's
2230569,Paper,Receipt,Wienerschnitzel
2202850,Paper,Gumwrapper,Wriggley's
2230583,Paper,Gum wrapper,Wrigley's
2221075,Paper,Gum wrapper,Wrigley's
2194161,Metal,"Automobile part, Hubcap",
2230529,Plastic,Bag,
2217653,Plastic,Bag,
2194170,Plastic,Bag,
2194125,Plastic,Bag,
2186808,Plastic,Bag,
2183108,Plastic,Bag,
2183119,Plastic,Bags,
2221052,Banana,Banana,
2202844,Metal,Bar,
2197298,Plastic,Bottle,
2183121,Plastic,Candy Cup,
2169260,Plastic,Cap,
2202849,Paper,Cardboard,
2183106,Paper,Cardboard,
2210618,"Paper, Cardboard",Cardboard,
2230575,Filter,Cigarette,
2230585,Paper,Cigarette,
2230527,Paper,Cigarette,
2217411,Paper,Cigarette,
2217408,Paper,Cigarette,
2217407,Paper,Cigarette,
2217393,Paper,Cigarette,
2217391,Paper,Cigarette,
2217390,Paper,Cigarette,
2217381,Paper,Cigarette,
2217372,Paper,Cigarette,
2217363,Paper,Cigarette,
2210677,Paper,Cigarette,
2210669,Paper,Cigarette,
2210645,Paper,Cigarette,
2210636,Paper,Cigarette,
2194178,Paper,Cigarette,
2186852,Paper,Cigarette,
2186851,Paper,Cigarette,
2186817,Paper,Cigarette,
2169378,Paper,Cigarette,
2169265,Paper,Cigarette,
2169264,Paper,Cigarette,
2230576,"Paper, Filter",Cigarette,
2217419,"Paper, Filter",Cigarette,
2216793,"Paper, Filter",Cigarette,
2202847,"Paper, Filter",Cigarette,
2197300,"Paper, Filter",Cigarette,
2194146,"Paper, Filter",Cigarette,
2183103,"Paper, Filter",Cigarette,
2230567,Filter,Cigarette Filter,
2230528,Filter,Cigarette Filter,
2221080,Filter,Cigarette Filter,
2221072,Filter,Cigarette Filter,
2221062,Filter,Cigarette Filter,
2210670,Filter,Cigarette Filter,
2210587,Filter,Cigarette Filter,
2194189,Filter,Cigarette Filter,
2194181,Filter,Cigarette Filter,
2194158,Filter,Cigarette Filter,
2194156,Filter,Cigarette Filter,
2169219,Paper,Cotton swab,
2221079,Plastic,Cup,
2194126,Plastic,Cup,
2194124,Plastic,Cup,
2194123,Plastic,Cup,
2169238,Plastic,Cup,
2169108,Plastic,Cup,
2169096,Plastic,Cup,
2186841,Plastic,Cup container,
2183124,Paper,Envelope,
2217384,Aluminum,Foil,
2169255,Aluminum,Foil,
2217414,Foil,Foil,
2230578,Plastic,Fork,
2230544,Paper,Form,
2166565,Glass,Glass,
2221081,Glass,Glass shard,
2217406,Glass,Glass shard,
2194175,Glass,Glass shard,
2230579,Paper,Grocery ad,
2217424,Plastic,Gum,
2230584,Polyisobutylene,Gum,
2230551,Polyisobutylene,Gum,
2230542,Polyisobutylene,Gum,
2230532,Polyisobutylene,Gum,
2221082,Polyisobutylene,Gum,
2217427,Polyisobutylene,Gum,
2217416,Polyisobutylene,Gum,
2217379,Polyisobutylene,Gum,
2216784,Polyisobutylene,Gum,
2210635,Polyisobutylene,Gum,
2210611,Polyisobutylene,Gum,
2186828,Polyisobutylene,Gum,
2183125,Polyisobutylene,Gum,
2169233,Polyisobutylene,Gum,
2217364,Foil,Gum wrapper,
2210580,"Paper, Aluminum",Gum wrapper,
2210578,"Paper, Aluminum",Gum wrapper,
2202871,"Paper, Aluminum",Gum wrapper,
2186816,"Paper, Aluminum",Gumwrapper,
2169120,Cloth,Hair tie,
2210681,"Plastic, Cloth",Hairtie,
2217420,Plastic,Lead Pencil,
2186848,Plastic,Lid,
2169239,Plastic,Lid,
2186847,Plastic,Lids,
2217413,Plastic,Light stick connector,
2210684,Plastic,Light stick connector,
2169217,"Plastic, Metal",Lighter,
2230565,Paper,Lollipop stick,
2194188,Paper,Lollipop stick,
2230580,Paper,Napkin,
2230570,Paper,Napkin,
2230557,Paper,Napkin,
2230540,Paper,Napkin,
2210672,Paper,Napkin,
2202854,Paper,Napkin,
2186850,Paper,Napkin,
2183114,Paper,Napkin,
2183111,Paper,Napkin,
2169259,Paper,Napkin,
2169248,Paper,Napkin,
2169236,Paper,Napkin,
2169231,Paper,Napkin,
2169216,Paper,Napkin,
2169262,Paper,Newspaper,
2217655,Paper,Note,
2230561,Styrofoam,Packaging,
2210637,Styrofoam,Packaging,
2210612,Styrofoam,Packaging,
2194180,Styrofoam,Packaging,
2217415,Foam,Packaging peanut,
2169111,"Plastic, Paper",Pad,
2210603,Paper,Paper,
2186794,Paper,Paper,
2183105,Paper,Paper,
2183104,Paper,Paper,
2169225,Paper,Paper,
2194160,"Paper, Glitter",Paper,
2186840,Paper,Paper Fringe,
2186825,Paper,Paper Fringe,
2230546,Plastic,Pencil,
2186809,Cloth,Shirt,
2217371,Plastic,Sticker,
2194154,Plastic,Sticker,
2230577,Paper,Sticky Note,
2202872,Plastic,Straw,
2217353,Paper,Straw wrapper,
2210623,Paper,Straw wrapper,
2197285,Paper,Straw wrapper,
2194182,Paper,Straw wrapper,
2194177,Paper,Straw wrapper,
2194159,Paper,Straw wrapper,
2186801,Paper,Straw wrapper,
2217382,Plastic,"Straw, Wrapper",
2230545,Plastic,String,
2230535,Plastic,String,
2221076,Plastic,String,
2217398,Plastic,String,
2210613,Plastic,String,
2202841,Plastic,String,
2194187,Plastic,String,
2194167,"Plastic, Aluminum",String,
2186810,Foam,Styrofoam,
2194173,Cloth,Tag,
2194172,Cloth,Tag,
2194171,Cloth,Tag,
2194169,Cloth,Tag,
2194163,Cloth,Tag,
2221056,Tape,Tape,
2217410,Paper,Teabag,
2230547,Aluminum,Tinfoil,
2210666,Paper,Wrapper,
2186838,Paper,Wrapper,
2230582,Plastic,Wrapper,
2221070,Plastic,Wrapper,
2217422,Plastic,Wrapper,
2217387,Plastic,Wrapper,
2217366,Plastic,Wrapper,
2210608,Plastic,Wrapper,
2210607,Plastic,Wrapper,
2210601,Plastic,Wrapper,
2210579,Plastic,Wrapper,
2210577,Plastic,Wrapper,
2210568,Plastic,Wrapper,
2202870,Plastic,Wrapper,
2202869,Plastic,Wrapper,
2194143,Plastic,Wrapper,
2194120,Plastic,Wrapper,
2186813,Plastic,Wrapper,
2186797,Plastic,Wrapper,
2183109,Plastic,Wrapper,
2183099,Plastic,Wrapper,
2183098,Plastic,Wrapper,
2169232,Plastic,Wrapper,
2169078,Plastic,Wrapper,
2221078,Plastic,Ziptie,
2210685,Aluminum,,
2194122,Aluminum,,
2230581,Cloth,,
2221049,Cloth,,
2217376,Cloth,,
2194148,Foam,,
2186822,Foam,,
2202845,Metal,,
2230574,Paper,,
2230566,Paper,,
2230564,Paper,,
2230562,Paper,,
2230552,Paper,,
2230550,Paper,,
2230549,Paper,,
2230548,Paper,,
2230543,Paper,,
2221074,Paper,,
2217656,Paper,,
2217654,Paper,,
2217423,Paper,,
2217399,Paper,,
2217395,Paper,,
2217392,Paper,,
2217386,Paper,,
2217375,Paper,,
2217373,Paper,,
2217370,Paper,,
2217367,Paper,,
2210682,Paper,,
2210676,Paper,,
2210671,Paper,,
2210667,Paper,,
2210644,Paper,,
2210643,Paper,,
2210642,Paper,,
2210634,Paper,,
2210633,Paper,,
2210632,Paper,,
2210631,Paper,,
2210630,Paper,,
2210629,Paper,,
2210628,Paper,,
2210627,Paper,,
2210626,Paper,,
2210625,Paper,,
2210622,Paper,,
2210616,Paper,,
2210615,Paper,,
2210610,Paper,,
2210596,Paper,,
2210594,Paper,,
2210593,Paper,,
2210592,Paper,,
2210589,Paper,,
2210588,Paper,,
2210586,Paper,,
2210585,Paper,,
2202846,Paper,,
2194185,Paper,,
2194165,Paper,,
2194164,Paper,,
2194162,Paper,,
2194157,Paper,,
2194155,Paper,,
2194153,Paper,,
2194121,Paper,,
2186846,Paper,,
2186844,Paper,,
2186836,Paper,,
2186830,Paper,,
2186829,Paper,,
2186826,Paper,,
2186824,Paper,,
2186820,Paper,,
2186818,Paper,,
2186815,Paper,,
2186814,Paper,,
2186812,Paper,,
2186811,Paper,,
2186800,Paper,,
2183116,Paper,,
2183110,Paper,,
2169249,Paper,,
2169234,Paper,,
2169230,Paper,,
2169229,Paper,,
2169227,Paper,,
2169226,Paper,,
2169224,Paper,,
2169223,Paper,,
2210621,"Paper, Tinfoil",,
2230573,Plastic,,
2230572,Plastic,,
2230563,Plastic,,
2230560,Plastic,,
2230558,Plastic,,
2230556,Plastic,,
2230553,Plastic,,
2230541,Plastic,,
2230539,Plastic,,
2230538,Plastic,,
2230537,Plastic,,
2230536,Plastic,,
2230533,Plastic,,
2230531,Plastic,,
2230530,Plastic,,
2221073,Plastic,,
2221069,Plastic,,
2221068,Plastic,,
2221051,Plastic,,
2217702,Plastic,,
2217701,Plastic,,
2217700,Plastic,,
2217652,Plastic,,
2217425,Plastic,,
2217421,Plastic,,
2217418,Plastic,,
2217412,Plastic,,
2217409,Plastic,,
2217397,Plastic,,
2217396,Plastic,,
2217394,Plastic,,
2217389,Plastic,,
2217385,Plastic,,
2217380,Plastic,,
2217378,Plastic,,
2217374,Plastic,,
2217368,Plastic,,
2217356,Plastic,,
2210674,Plastic,,
2210673,Plastic,,
2210652,Plastic,,
2210646,Plastic,,
2210641,Plastic,,
2210638,Plastic,,
2210614,Plastic,,
2210604,Plastic,,
2210602,Plastic,,
2210600,Plastic,,
2210591,Plastic,,
2210584,Plastic,,
2210581,Plastic,,
2202873,Plastic,,
2202867,Plastic,,
2202866,Plastic,,
2202843,Plastic,,
2194183,Plastic,,
2194174,Plastic,,
2194168,Plastic,,
2194166,Plastic,,
2194145,Plastic,,
2194144,Plastic,,
2194128,Plastic,,
2186845,Plastic,,
2186842,Plastic,,
2186827,Plastic,,
2186821,Plastic,,
2186798,Plastic,,
2183115,Plastic,,
2183097,Plastic,,
2169261,Plastic,,
2169254,Plastic,,
2169218,Plastic,,
2169117,Plastic,,
2210567,Plastic Wrapper,,
2183096,Tin foil,,
2230555,Tinfoil,,
