Tags,Location (Lat / Long),Lon,Lat,Name,Username,Date,Day,Image URL,id,Material,Material_TT,Item,Item_TT,Brand,Brand_TT,ID_1,Manufacturer,Site Area_m2,Site_Length_m,Road_Width_m,Landuse_Type,Number_Road_Lanes,Both_Sides,Tract,Mean Income_households_2019_5year_census,Median Income_households,Cal_Enviro_Screen,Street Sweeping Schedule,Area_m2,TractID,Name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,layer,path
"plastic, lid",34.00402924/-117.35419714,-117.35420,34.00403,Site 7A,litterati-92684,01/10/2018 01:48:30 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/487ef4e0-2658-32a8-b640-e4c35c5a4977-92684/180x180.jpg,1981941,plastic,plastic,lid,lids,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"plastic, cigar wrapper",34.00389773/-117.35434865,-117.35435,34.00390,Site 7A,litterati-92684,01/10/2018 01:49:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/bd664c80-7ec3-3f06-81e6-ecfa0501f576-92684/180x180.jpg,1981943,plastic,plastic,Tobacco Wrapper,tobaccopackaging&wrappers,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"plastic, ducttape",34.00400734/-117.3544616,-117.35446,34.00401,Site 7A,litterati-92684,01/10/2018 01:50:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/08402b28-3eb0-322e-b074-1564d335623f-92684/180x180.jpg,1981945,plastic,plastic,tape,tape,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
food,34.00404605/-117.35449219,-117.35449,34.00405,Site 7A,litterati-92684,01/10/2018 01:51:22 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/6e226a86-24aa-3601-ad21-a81d225ac8f7-92684/180x180.jpg,1981947,food,food,,other,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"cup, plastic",34.00409882/-117.35466855,-117.35467,34.00410,Site 7A,litterati-92684,01/10/2018 01:52:34 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/144de570-d71f-3899-8bfe-9b710a37cf6e-92684/180x180.jpg,1981950,plastic,plastic,cup,cups,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"paper, receipt",34.00409286/-117.35467014,-117.35467,34.00409,Site 7A,litterati-92684,01/10/2018 01:53:26 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/24aa14db-e7d6-32e4-bf60-4dc2eae2be48-92684/180x180.jpg,1981952,paper,paper,receipt,reciepts,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
plasticstraw,34.00405398/-117.35469232,-117.35469,34.00405,Site 7A,litterati-92684,01/10/2018 01:54:45 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/d85069f1-3d8f-3e03-9f98-76cb20b03ec1-92684/180x180.jpg,1981959,plastic,plastic,straw,straws,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"plastic, cup, starbucks",34.0040095/-117.35476932,-117.35477,34.00401,Site 7A,litterati-92684,01/10/2018 01:55:55 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/a76aa721-41a6-3d8c-9c72-b268a7975688-92684/180x180.jpg,1981963,plastic,plastic,cup,cups,starbucks,Starbucks,1376,Starbucks,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"plastic, cup",34.00400969/-117.35476994,-117.35477,34.00401,Site 7A,litterati-92684,01/10/2018 01:56:24 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/b6dcd6ea-e267-398d-96cc-ea04e37c56dd-92684/180x180.jpg,1981966,plastic,plastic,cup,cups,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
"paper, strawwrapper",34.00402099/-117.35478522,-117.35479,34.00402,Site 7A,litterati-92684,01/10/2018 01:57:07 GMT,10/1/2018,https://litterati-thumbnails-prod.s3-us-west-2.amazonaws.com/2018/10/01/7c0b8c60-cee7-3c36-916e-e91d46d187ee-92684/180x180.jpg,1981968,paper,paper,straw wrapper,wrappers,,,,other,2580.62400,138.30000,9.50000,Residential,2,Yes,423.00000,78166,57475,85-90,2nd and 4th Friday AM,1.00081e+07,6065042300,Win,,,,,,1,0,-1,,,Win Win.kmz,G:/My Drive/GrayLab/Projects/Plastics/ActiveProjects/TrackingTrashReceipts/Code/Github/StudyAreas/Win.kmz
