from,to
trash,pottery or ceramic
trash,auto products
trash,bags
trash,batteries
trash,"bolts, nails, and screws"
trash,cable ties
trash,clothing OR towels OR gloves OR shoes
trash,computer equiptment & other electronic devices
trash,corks
trash,"cups, food trays, food wrappers, drink containers"
trash,"cups, plates, tableware, dishes"
trash,film (think OR flexible e.g. straw wrapper)
trash,filmstrip
trash,fishing related
trash,foil
trash,fragments
trash,hooksett disks
trash,industrialpackaging OR crates OR sheeting
trash,large debris items
trash,light bulbs OR tubes
trash,lumber OR building material
trash,macroplastics
trash,medium plastics
trash,miscellaneous items
trash,non-food related plastic packaging
trash,"other bottles, containers and drums"
trash,other organic waste
trash,packaging
trash,paint brushes
trash,paint tins
trash,paper
trash,paraffin OR wax
trash,pellet
trash,pens OR pencils
trash,personal care products
trash,rope OR fishing line
trash,rubber bands
trash,sheeting
trash,shotgun cartridges
trash,sponge
trash,tangled nets OR cord OR rope and string
trash,tobacco packaging & wrappers
trash,toys OR party poppers OR fireworks OR dummies
trash,trap
trash,wire
pottery or ceramic,flower pots
auto products,batteries: car or boat
auto products,car OR boat parts
auto products,motorbikes OR parts
auto products,"vehicle debris, large"
auto products,"vehicle debris, small"
bags,backpacks & bags
bags,bag (grocery)
bags,bag (trash)
bags,"bag (zip-lock, produce, other)"
bags,bulk bags
bags,degraded bag
bags,dog waste bags
bags,mesh vegetable bags
bags,sacking
bags,take-out food bags
batteries,batteries (acidic and alkaline)
clothing OR towels OR gloves OR shoes,"clothing, hats, gloves & towels"
clothing OR towels OR gloves OR shoes,clothing OR shoes OR beach towels
computer equiptment & other electronic devices,"cd, cd-box"
computer equiptment & other electronic devices,small electronic items
"cups, food trays, food wrappers, drink containers",beverage conatiners
"cups, food trays, food wrappers, drink containers","bottle caps, lids & pull tabs"
"cups, food trays, food wrappers, drink containers",bottle label
"cups, food trays, food wrappers, drink containers",bottle neck rings
"cups, food trays, food wrappers, drink containers",cardboard cartons
"cups, food trays, food wrappers, drink containers",cups & plates
"cups, food trays, food wrappers, drink containers",fastfoodcontainers OR cups
"cups, food trays, food wrappers, drink containers",food cans
"cups, food trays, food wrappers, drink containers",food wrappers or containers
"cups, food trays, food wrappers, drink containers",food OR beverage ware
"cups, food trays, food wrappers, drink containers",home food packaging
"cups, food trays, food wrappers, drink containers",juice packet
"cups, food trays, food wrappers, drink containers",salt packaging
"cups, food trays, food wrappers, drink containers",sauce packet
"cups, food trays, food wrappers, drink containers",singlue use food container
"cups, food trays, food wrappers, drink containers",straws
"cups, plates, tableware, dishes",4 OR 6 pack yokes
"cups, plates, tableware, dishes","cups, plastes, forks, knives, spoons"
"cups, plates, tableware, dishes",cutlery OR trays OR straws OR cups
"cups, plates, tableware, dishes",street food bowl
"cups, plates, tableware, dishes",tableware
film (think OR flexible e.g. straw wrapper),thin film
fishing related,bait containers OR crates OR lures
fishing related,bobbins (fishing)
fishing related,fish aggregating devices
fishing related,fish boxes
fishing related,fish hook
fishing related,fishing line
fishing related,fishing line OR net
fishing related,fishing lures & line
fishing related,fishing rubbertail baits & weights
fishing related,fishing traps and pots
fishing related,"fishing: lures, rods OR poles"
fishing related,"fishing: sinkers, lures, hooks"
fishing related,fishingweights OR hooks OR lures
fishing related,floats (fishing buoys) OR reels
fishing related,lobster and fish tags
fishing related,lobster claw bands
fishing related,oyster nets or mussel bags including plastic stoppers
fishing related,oyster trays (round from oyster cultures)
fishing related,"sails, canvas"
fishing related,scuba&snorkelgear
fragments,fibre glass OR fragments
large debris items,"advertisements, signs"
large debris items,anchor
large debris items,"appliances, bikes, carts"
large debris items,beams OR dunnage
large debris items,carpet & furnishing
large debris items,carts OR parts
large debris items,"constructionmaterial(brick,cement,pipes)"
large debris items,fencing
large debris items,fertilizer OR animal feed bags
large debris items,filter box
large debris items,inner-tubes & rubber sheets
large debris items,mattress OR foam
large debris items,plasters
large debris items,scrap OR metal appliances OR paint tins
large debris items,shopping trolleys
large debris items,signs OR cones
large debris items,"wire, wire mesh, barbed wire"
light bulbs OR tubes,"light globes: bulbs, etc"
light bulbs OR tubes,light sticks (tubes with fluid)
lumber OR building material,wood boards
miscellaneous items,other identifiable items
miscellaneous items,other mixed
miscellaneous items,toilet fresheners
"other bottles, containers and drums",aerosol cans
"other bottles, containers and drums",chemicals and chemical containers
"other bottles, containers and drums","baskets, crates"
"other bottles, containers and drums",barrels
"other bottles, containers and drums","buckets, drums & jerry cans: 2 litres or more"
"other bottles, containers and drums","cleaner(bottles,containersanddrums)"
"other bottles, containers and drums",drums
"other bottles, containers and drums","gas bottles, drums & buckets (>4L)"
"other bottles, containers and drums",non-beverage containers OR bottles
other organic waste,bagged dog faeces
other organic waste,dog poop (unbagged)
other organic waste,food
other organic waste,oil OR tar
other organic waste,slack OR coal
packaging,shipping OR packaging
paper,cardboard
paper,"newspaper, books"
paper,newspapers & magazines
paper,paper OR napkins OR tissues
paper,parking tickets & reciepts
pellet,cylindrical pellets <5mm
pellet,disks pellets <5mm
pellet,flat pellets <5mm
pellet,granules <5mm
pellet,industrial pellets
pellet,ovoid pellets <5mm
pellet,resin pellets
pellet,small industrial spheres (<5mm)
pellet,spheruloids pellets <5mm
pellet,threadlike user pellets
pens OR pencils,pens
personal care products,bandages
personal care products,blister pack
personal care products,combs OR hairbrushes OR sunglasses
personal care products,contraceptives
personal care products,cotton bud sticks
personal care products,drugs
personal care products,ear plugs
personal care products,femininehygeneitems
personal care products,hair tie
personal care products,inhaler
personal care products,medical OR pharmaceuticals containers OR tubes
personal care products,personal care product tube
personal care products,sanitary product
personal care products,"sharp needles, lancets, metal catheters"
personal care products,syringes
personal care products,toiletries
rope OR fishing line,rope
rope OR fishing line,ropes OR strapping bands
sheeting,sheeting <30cm
sheeting,sheeting >60cm
sheeting,sheeting 30-60 cm
sheeting,"sheeting: tarpaulin, plastic sheets, palette wrap"
sheeting,sheetlike user pellets
sheeting,sheetlikeuserplastic(>1mm)
tangled nets OR cord OR rope and string,rope & string
tobacco packaging & wrappers,cigar tips
tobacco packaging & wrappers,cigarette materials
tobacco packaging & wrappers,cigarettes OR cigar tips
toys OR party poppers OR fireworks OR dummies,"balloon, tennis ball, football, dog toy"
toys OR party poppers OR fireworks OR dummies,fireworks
toys OR party poppers OR fireworks OR dummies,"toys, balls, party poppers"
trap,wooden trap
wire,cables
car OR boat parts,car parts
car OR boat parts,boat parts
bag (grocery),shopping bags incl. pieces
"bag (zip-lock, produce, other)","small plastic bags, e.g., freezer bags"
take-out food bags,single use plastic carryout bags
"clothing, hats, gloves & towels",clothing OR towel OR gloves
"clothing, hats, gloves & towels",hard hats
clothing OR shoes OR beach towels,clothing & shoes
clothing OR shoes OR beach towels,cloth fragments
small electronic items,e-waste fragments
small electronic items,telephone(incl.parts)
beverage conatiners,bottles & jars
beverage conatiners,cans OR tins
beverage conatiners,cups
"bottle caps, lids & pull tabs",pull tabs: beverages
"bottle caps, lids & pull tabs",bottle caps
"bottle caps, lids & pull tabs",caps OR lids
cardboard cartons,juice carton
cardboard cartons,milk carton
cups & plates,plates
