Material,Alias
biohazard,toxic
biohazard,biohazard
ceramic,pottery OR ceramic
ceramic,concrete OR pottery
ceramic,pottery OR ceramics
ceramic,ceramic
cloth,rag OR cloth
cloth,clothing
cloth,cloth
cloth,clothes OR fabric
cloth,textile
cloth,fabric
cloth,fabric OR cloth
cloth,naturalproducts OR clothes
cloth,cloth OR fabric
cloth,textiles
cloth,textiles OR naturalfibers
cloth,cloth OR textile
cloth,clothmaterials
faeces,animalfaeces
faeces,faeces
fibreglass,fibreglass
foam,foam
foam,polystyrene
foam,polystyrenefoam
foam,styrofoam
foam,styro.
foam,foamedplastic
glass,glass
glass OR ceramic,glass&ceramicmaterials
glass OR ceramic,glass OR ceramic
glass OR ceramic,glass OR ceramics
glass OR ceramic,glass&ceramic
hardplastics,hardplastics
metal,metals
metal,metalmaterials
metal,metal
leather,leather
food,food
organic,biodegradable
organic,organic
organic,organics
organic,organicitems
other,boat OR ship OR enginepart
other,miscellaneous
other,other
other,others
other,mixedmaterials
other,otheritems
other,cigarette
other,otherplastic
other,unidentified
paper,paper
paper OR cardboard,paper OR cardboardmaterials
paper OR cardboard,paper OR cardboard
paper OR cardboard,paper OR carton
plastic,plastic
plastic,plastics
plastic,plasticmaterials
plastic,plasticfragments
plastic,plastic OR polystyrene
plastic,plastic OR styrofoam
plastic,artificialpolymermaterials
rubber,rubbermaterials
rubber,rubber
sanitarywaste,sanitarywaste
sanitarywaste,personalhygiene
sanitarywaste,medicalwaste
sanitarywaste,sanitary
sanitarywaste,medical OR personalhygiene
sanitarywaste,medical
softplastics,softplastics
vinyl,vinyl
wood,wood
wood,woodydebris
processedwood,processedwood
processedwood,man.wood
processedwood,lumber
processedwood,processedlumber
processedwood,wood(machined)
processedwood,woodmaterials
processedwood,timber
processedwood,processed OR workedwood
processedwood,wood(machined)
woodandpaper,woodandpaper
woodandpaper,paper&lumber
concrete OR asphalt,concrete OR asphalt
