 


Daily Averaged Summary
RIVERSIDE MUNI AP (CA)
WBAN ID: 03171
Lat/Lon/Elev: 33.9519/-117.4386/805ft.
 
Date,Max Hourly Temp (F),Min Hourly Temp (F),Mean Hourly Temp (F),Max Dew Point Temp (F),Min Dew Point Temp (F),Mean Dew Point Temp (F),Min RH (%),Max RH (%),Mean Pres (inHg),Mean Wind Speed (mph),Max Wind Speed (mph),Max Wind Gust (mph),Mean Wind Dir (deg),Total Precip (in),Max Hourly Precip (in),
2017-06-01,78,60,66.7,58,56,57.0,48,93,981.13,7.6,14,17,M,M,0.00,
2017-06-02,92,58,72.1,60,55,57.7,32,93,980.89,5.4,15,23,M,0.00,0.00,
2017-06-03,92,59,72.8,61,54,58.1,30,96,981.54,6.6,18,24,M,0.00,0.00,
2017-06-04,89,59,71.7,61,57,58.8,36,100,981.30,5.3,17,20,306.3,M,0.00,
2017-06-05,86,57,68.7,61,57,58.6,37,100,981.37,6.5,15,18,M,M,M,
2017-06-06,80,61,67.2,60,58,58.9,49,93,982.97,6.8,16,23,287.9,0.00,0.00,
2017-06-07,79,62,67.6,61,57,58.8,52,90,983.80,6.1,16,24,295.2,M,0.00,
2017-06-08,79,60,66.9,59,55,56.7,44,90,984.81,5.9,13,17,282.0,M,0.00,
2017-06-09,82,57,67.9,59,52,56.2,35,90,983.09,6.5,15,23,302.4,M,0.00,
2017-06-10,78,59,66.5,59,53,55.9,47,90,981.36,6.3,18,26,301.9,M,0.00,
2017-06-11,75,58,64.3,54,50,51.9,42,78,982.56,6.7,18,30,M,M,M,
2017-06-12,76,56,65.3,53,43,48.3,36,84,985.38,6.4,16,21,M,0.00,0.00,
2017-06-13,87,54,70.3,53,41,47.4,21,77,982.77,4.3,16,24,M,0.00,0.00,
2017-06-14,93,59,75.8,52,46,49.5,22,72,981.61,5.3,16,22,319.0,0.00,0.00,
2017-06-15,95,61,78.2,56,44,50.5,18,67,982.35,4.8,15,22,323.1,0.00,0.00,
2017-06-16,100,63,80.0,54,45,51.6,18,68,981.79,3.9,16,23,328.3,0.00,0.00,
2017-06-17,97,63,79.6,56,46,52.6,19,70,980.98,5.0,16,22,311.4,0.00,0.00,
2017-06-18,97,64,80.4,57,44,53.0,17,73,979.43,5.0,16,20,309.0,0.00,0.00,
2017-06-19,97,66,82.1,60,56,58.1,26,73,979.95,4.3,11,M,319.6,0.00,0.00,
2017-06-20,103,68,85.2,62,56,59.7,22,78,980.10,4.2,15,23,M,0.00,0.00,
2017-06-21,103,69,84.4,63,49,58.6,19,75,977.40,6.1,20,28,308.4,0.00,0.00,
2017-06-22,91,62,74.7,63,56,60.6,31,93,979.35,7.0,15,16,284.1,0.00,0.00,
2017-06-23,91,61,74.1,62,60,61.0,38,100,982.15,6.6,17,21,288.3,M,0.00,
2017-06-24,91,65,77.2,63,60,61.0,37,84,981.53,6.2,11,18,284.0,0.00,0.00,
2017-06-25,108,68,83.9,62,54,59.8,18,78,982.04,4.4,15,21,318.3,0.00,0.00,
2017-06-26,106,71,87.1,61,31,47.0,7,66,982.90,6.2,20,26,320.6,0.00,0.00,
2017-06-27,100,64,81.6,53,27,43.5,8,59,981.54,5.8,17,22,308.6,0.00,0.00,
2017-06-28,91,62,73.7,58,42,53.5,19,84,981.41,5.6,18,25,314.6,0.00,0.00,
2017-06-29,86,59,70.3,59,52,57.2,34,93,983.04,5.9,16,21,295.4,0.00,0.00,
2017-06-30,87,60,71.5,59,57,58.4,37,96,982.04,6.7,15,20,M,0.00,0.00,
2017-07-01,86,61,70.0,61,58,59.9,43,100,981.53,7.1,17,23,282.2,M,0.00,
2017-07-02,91,59,73.0,61,55,58.4,30,96,984.65,5.4,16,18,M,M,0.00,
2017-07-03,97,60,77.2,60,39,54.0,14,93,985.80,4.8,13,M,M,0.00,0.00,
2017-07-04,98,64,80.6,57,39,49.5,13,78,984.34,4.2,15,21,M,0.00,0.00,
2017-07-05,99,66,81.4,57,41,48.1,17,57,984.47,4.8,15,M,M,0.00,0.00,
